title,declined_from,appendix,entry_no,js_rank,miller_calls,watkins,also_in_appendix_D
9:20 Special,the ranking,C,5,597,,,
12th Street Rag,the ranking,C,4,351,,,
An Affair to Remember,the ranking,C,23,966,,,
After Hours,the ranking,C,12,828,,,
After I Say I'm Sorry,the ranking,C,13,560,,,
After The Rain,the chapter,B,5,,,,
Ain't She Sweet,the ranking,C,14,650,,,
Aisha,the chapter,B,6,,,,
Alexander's Ragtime Band,the ranking,C,15,578,,,
All Alone,the ranking,C,16,918,,,
All By Myself,the ranking,C,17,986,,,
All God's Chillun Got Rhythm,the ranking,C,18,296,,,
All My Life,the ranking,C,19,950,,,
All Through the Night,the ranking,C,20,509,,,
Always,the ranking,C,21,302,,,
Amazing Grace,the ranking,C,22,731,,,
Ambrosia,the chapter,B,7,,,,
And the Angels Sing,the ranking,C,24,786,,,
Angola,the chapter,B,8,,,,
Any Old Time,the ranking,C,25,921,,,
Anything Goes,the ranking,C,26,754,,,
Apex,the chapter,B,9,,,,
Arietis,the chapter,B,10,,,,
At Long Last Love,the ranking,C,27,909,,,
At Sundown,the ranking,C,28,812,,,
"A-Tisket, A-Tasket",the ranking,C,11,575,,,
Auld Lang Syne,the ranking,C,29,958,,,
Aunt Hagar's Blues,the ranking,C,30,901,,,
Autumn Nocturne,the chapter,B,11,,,,
Autumn Serenade,the chapter,B,12,,,,
Away in a Manger,the ranking,C,31,917,,,
"Baby, It's Cold Outside",the ranking,C,32,898,,,
Back in Your Own Backyard,the ranking,C,33,451,,,
Back Water Blues,the ranking,C,34,982,,,
Backstage Sally,the chapter,B,13,,,,
Bad and the Beautiful (Theme from the),the ranking,C,35,872,,,
Baia,the ranking,C,36,642,,,
Ballin' the Jack,the ranking,C,37,677,,,
Barbara,the chapter,B,14,,,,
Barracudas,the chapter,B,15,,,,
"Baubles, Bangles and Beads",the ranking,C,38,422,,,
Be My Love,the ranking,C,39,724,,,
Beale Street Blues,the ranking,C,40,463,,,yes
A Beautiful Friendship,the chapter,B,3,,,,
Bei Mir Bist Du Schoen,the ranking,C,41,967,,,
"Bess, You Is My Woman Now",the ranking,C,42,539,,,
The Best Is Yet to Come,the ranking,C,360,878,,,
The Best Thing for You,the ranking,C,361,789,,,
The Best Things in Life Are Free,the ranking,C,362,818,,,
Beyond All Limits,the chapter,B,16,,,,
Big Nick,the chapter,B,17,,,,
The Big Push,the chapter,B,196,,,,
Bill,the chapter,B,18,,,,
Bill Bailey Won't You Please Come Home,the ranking,C,43,975,,,
Billy Boy,the chapter,B,19,,,,
Birth of the Blues,the ranking,C,44,501,,,
Bittersweet,the chapter,B,20,,,,
Black and Blue,the ranking,C,45,432,,,
Blue Daniel,the chapter,B,21,,,,
Blue Lou,the ranking,C,46,198,,,
Blue Silver,the chapter,B,22,,,,
Blue Spirits,the chapter,B,23,,,,
Blue Turning Grey Over You,the ranking,C,47,744,,,
Blueberry Hill,the ranking,C,48,602,,,
Blues By Five,the chapter,B,24,,1,categorical (3),
Blues in My Heart,the ranking,C,49,594,,,
Book's Bossa,the chapter,B,25,,,,
The Boy Next Door,the chapter,B,197,,,,
Brazil,the ranking,C,50,911,,,
The Breeze and I,the ranking,C,363,447,,,
Brite Piece,the chapter,B,26,,,,
Broadway,the ranking,C,51,366,11,,
Brownskin Girl,the chapter,B,27,,,,
