entry_no,title
1,26-2
2,502 Blues (AKA Drinkin' And Drivin')
3,Adam's Apple
4,Afro-Centric
5,After The Rain
6,Ah-Leu-Cha
7,Aisha
8,Alice In Wonderland
9,Along Came Betty
10,Ambrosia
11,Ana Maria
12,Angola
13,Apex
14,Are You Real?
15,Arietis
16,Autumn Nocturne
17,Autumn Serenade
18,Backstage Sally
19,Ba-lue Bolivar Ba-lues-are (AKA Bolivar Blues)
20,Barbara
21,Barracudas
22,Bass Blues
23,Bean And The Boys (AKA Burt Covers Bud)
24,Beatrice
25,A Beautiful Friendship
26,Bessie's Blues
27,Beyond All Limits
28,Big Nick
29,The Big Push
30,Bill
31,Billy Boy
32,Birdlike
33,Bittersweet
34,Black Narcissus
35,Black Nile
36,The Blessing
37,Bluebird
38,Blue Daniel
39,Blues By Five
40,Bluesette
41,Blue Seven
42,Blues For Alice
43,Blues For Wood
44,Blue Silver
45,Blues March
46,Blues Minor
47,Blues On The Corner
48,Blue Spirits
49,The Blues Walk
50,Blue Trane
51,Bolivia
52,Book's Bossa
53,Boplicity
54,The Boy Next Door
55,Bright Mississippi
56,Brilliant Corners
57,Brite Piece
58,Brownskin Girl
59,Buzzy
60,Bye-Ya
61,Cantaloupe Island
62,Capetown Ambush
63,Celia
64,Central Park West
65,Ceora
66,Cheese Cake
67,Chi Chi
68,Chick's Tune
69,Children Of The Night
70,Choose Now
71,Chronic Blues
72,Constellation
73,Contemplation
74,Cool Blues
75,Countdown
76,Count Every Star
77,Count Your Blessings
78,Cousin Mary
79,Crazeology
80,Crepuscule With Nellie
81,Crescent
82,Crisis
83,Criss Cross
84,C. R. M.
85,C.T.A.
86,Cyclic Episode
87,Dance Cadaverous
88,Dance Of The Infidels
89,Dat Dere
90,Delilah
91,Del Sasser
92,Deluge
93,Dewey Square
94,Diane
95,Dig
96,Driftin'
97,Dr. Jekyll (AKA Dr. Jackle)
98,Eastern Joy Dance
99,Ecaroh
100,Effendi
101,Eighty One
102,El Gaucho
103,Elm
104,Episode From A Village Dance
105,Eronel
106,Escapade
107,E.S.P.
108,The Eternal Triangle
109,Exact Change
110,The Eye Of The Hurricane
111,Fall
112,Fee-Fi-Fo-Fum
113,Fifth House
114,Firewater
115,Firm Roots
116,First Trip
117,Five Spot After Dark
118,Fly Little Bird Fly
119,Forest Flower
120,Four By Five
121,Four In One
122,Four On Six
123,Freddie Freeloader
124,Freedom Jazz Dance
125,Freeway
126,Friday The Thirteenth
127,The Fruit
128,Fuchsia Swing Song
129,Funji Mama
130,Gaslight
131,The Gentle Rain
132,Gertrude's Bounce
133,Getting To Know You
134,Gingerbread Boy
135,Glass Enclosure
136,Gloria's Step
137,Gnid
138,Gone Again
139,Grand Central
140,Granted
141,Green St. Caper
142,Gregory Is Here
143,The Gypsy In My Soul
144,Gypsy Without A Song
145,Hackensack (AKA Rifftide)
146,Hallucinations (AKA Budo)
147,Happy Times
148,Hey There
149,Hi-Fly
150,The Holy Land
151,Homestretch (AKA Joe's Blues)
152,Household Of Saud
153,House Of Jade
154,How Are Things In Glocca Morra?
155,How Could You Do A Thing Like That To Me
156,Hub-Tones
157,I Don't Wanna Be Kissed
158,If
159,If Ever I Would Leave You
160,If There Is Someone Lovelier Than You
161,If This Isn't Love
162,I Guess I'll Hang My Tears Out To Dry
163,I Had The Craziest Dream
164,I'll Keep Loving You
165,I'll Wait And Pray
166,I Love Lucy
167,I'm So Excited By You
168,In A Capricornian Way
169,In A Mist
170,In Case You Haven't Heard
171,Infant Eyes
172,Inner Urge
173,Intrepid Fox
174,Introspection
175,Isotope
176,Israel
177,Is That So
178,I Think You're Wonderful
179,I Thought I'd Let You Know
180,I've Told Ev'ry Little Star
181,Jackie-ing
182,Jayne
183,Jeannine
184,The Jody Grind
185,Joshua
186,Juju
187,Just One More Chance
188,Katrina Ballerina
189,K.C. Blues
190,The Kicker
191,Kim
192,Knucklebean
193,La Alhambra
194,La Fiesta
195,Laird Baird
196,Lament For Booker
197,La Mesha
198,Lazy Bird
199,Lester Left Town
200,Let Me Try
201,Let's Call This
202,Let's Cool One
203,Light Blue
204,Like Sonny (AKA Simple Like)
205,Lil's Paradise
206,Litha
207,Little B's Poem
208,Little Dancer
209,Little Melonae
210,Little Niles
211,Little Old Lady
212,Little One
213,Little Red's Fantasy
214,Little Rootie Tootie
215,Little Sunflower
216,Little Willie Leaps
217,Locomotion
218,Lonely Woman
219,Lonnie's Lament
220,Lookout Farm
221,Lost
222,Love Is A Many Splendored Thing
223,Lucky Day
224,Luny Tune
225,The Maestro
226,Mahjong
227,Mamacita
228,"Manha De Carnaval (AKA Morning Of The Carnival, The Theme From Black Orpheus, and A Day In The Life Of A Fool)"
229,Mating Call
230,Matrix
231,Mayreh
232,(Meet) The Flintstones
233,Melancholia
234,"Mercy, Mercy, Mercy"
235,Miles' Mode
236,Milestones (old)
237,Minority
238,"Mirror, Mirror"
239,Miyako
240,Mode For Joe
241,Mohawk
242,Mo' Joe
243,Moon Alley
244,Moon Rays
245,The Moontrane
246,Morning
247,Morning Star
248,Mosaic
249,The Most Beautiful Girl In The World
250,Mr. Clean
251,Mr. Day (AKA One And Four)
252,Mr. P.C.
253,Mr. Syms
254,My Little Brown Book
255,Nefertiti
256,New York
257,Nica's Tempo
258,Night Dreamer
259,No Blues (AKA Pfrancing)
260,Nostalgia In Times Square
261,Nutty
262,Nutville
263,Oblivion
264,O Grande Amor
265,Ojos De Rojo
266,Oliloqui Valley
267,On A Misty Night
268,One By One
269,"One Down, One Up"
270,One Finger Snap
271,One's Own Room
272,On The Nile
273,Opus De Funk
274,Oriental Folk Song
275,An Oscar For Treadwell
276,Our Man Higgins
277,Our Waltz
278,Overtaken By A Moment
279,Paris Eyes
280,Parisian Thoroughfare
281,Passion Dance
282,Paul's Pal
283,Peace Piece
284,Penelope
285,Pensativa
286,Pent-Up House
287,Peresina
288,Picadilly Lily
289,Pinocchio
290,Played Twice
291,Poor People's March
292,Power To The People
293,Pretty Eyes
294,Prince Albert
295,Punjab
296,Pursuance
297,Put Your Little Foot Right Out
298,Quasimodo
299,Quicksilver
300,Rahsaan's Run
301,Ramblin'
302,Rapture
303,Recordame (AKA No Me Esqueca)
304,Red Clay
305,Reflections In D
306,Resolution
307,Right Now
308,Riot
309,Rise 'n Shine
310,Room 608
311,Rosewood
312,Sail Away
313,Samba De Orpheus
314,Same Shame
315,Sandu
316,Sans Souci
317,Satellite
318,Say It (Over And Over Again)
319,The Scene Is Clean
320,Search For Peace
321,Second Balcony Jump
322,Señor Blues
323,Serenity
324,The Serpent's Tooth
325,Seven Steps To Heaven
326,A Shade Of Jade
327,Shall We Dance
328,She
329,Short Story
330,Silver's Serenade
331,Sky Dive
332,So Beats My Heart For You
333,Social Call
334,Solid
335,Some Other Blues
336,Some Other Time
337,So Near So Far
338,Song For My Father
339,Sonnymoon For Two
340,Soul-Leo
341,Soultrane
342,Speak No Evil
