title,programs,in_the_index,index_entry,program_list,printed_forms
26-2,2,List 3,List 3 #1,San Diego State; William Paterson,
500 Miles High,2,List 3,List 3 #2,Utah; William Paterson,500 MILES HIGH | 500 Miles High
A Child Is Born,3,List 2,List 2 #1,Marshall; Utah; William Paterson,A CHILD IS BORN | A Child Is Born | Child Is Born
A Day In The Life Of A Fool,1,List 1A,List 1A #31,Marshall,
A Foggy Day,5,List 1B,List 1B #1,Alabama; Cal State Long Beach; Oregon; Utah; William Paterson,A FOGGY DAY | A Foggy Day | Foggy Day
A Night in Tunisia,8,List 1A,List 1A #41,Alabama; Cal State Long Beach; Marshall; Oregon; Sonoma State; Utah; Utah Valley; William Paterson,"A NIGHT IN TUNISIA | A Night In Tunisia | A Night in Tunisia | Night In Tunisia | Night In Tunisia, A | Night in Tunisia"
A Time For Love,1,List 5C,List 5C #2,Cal State Long Beach,
Afro blue,3,List 1A,List 1A #1,Cal State Long Beach; Utah Valley; William Paterson,Afro Blue | Afro blue
After You've Gone,4,List 4,List 4 #30,Alabama; Cal State Long Beach; Oregon; Utah,AFTER YOU'VE GONE | After You've Gone
Afternoon in Paris,4,List 2,List 2 #3,Cal State Long Beach; Marshall; Oregon; William Paterson,Afternoon In Paris | Afternoon in Paris
Ain't Misbehavin',1,List 4,List 4 #16,Alabama,
Airegin,4,List 1B,List 1B #2,Cal State Long Beach; Central Florida; Utah; William Paterson,AIREGIN | Airegin
Alice In Wonderland,2,List 2,List 2 #4,Oregon; Utah,ALICE IN WONDERLAND | Alice In Wonderland
All Blues,10,List 1A,List 1A #69,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson,ALL BLUES | All Blues
All of Me,6,List 1A,List 1A #2,Alabama; Iowa; Marshall; Oregon; Utah; William Paterson,ALL OF ME | All of Me
All of You,5,List 1B,List 1B #3,Alabama; Iowa; Marshall; Utah; William Paterson,ALL OF YOU | All of You
All the Things You Are,12,List 1A,List 1A #3,Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,ALL THE THINGS YOU ARE | All The Things You Are | All the Things You Are
Almost Like Being in Love,1,List 5A,List 5A #1,Alabama,
Alone Together,11,List 1A,List 1A #4,Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,ALONE TOGETHER | Alone Together
Along Came Betty,6,List 2,List 2 #5,Cal State Long Beach; Iowa; Sonoma State; Utah; Western Michigan; William Paterson,ALONG CAME BETTY | Along Came Betty
Ana Maria,1,List 3,List 3 #5,San Diego State,
Angel Eyes,2,List 1B,List 1B #4,Cal State Long Beach; William Paterson,
Anthropology,7,List 1A,List 1A #88,Cal State Long Beach; Central Florida; Marshall; Oregon; Sonoma State; Utah; William Paterson,ANTHROPOLOGY | Anthropology
April in Paris,1,List 5A,List 5A #2,William Paterson,
April Joy,1,,,William Paterson,
Are You Real?,1,List 3,List 3 #6,William Paterson,
As Time Goes By,1,List 5B,List 5B #5,William Paterson,
ASK ME NOW,1,List 3,List 3 #7,Utah,
Au Privave,7,List 1A,List 1A #70,Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Utah; Utah Valley; William Paterson,AU PRIVAVE | Au Privave
