block_id,publisher,work,volume,title_as_entered,match_key,alias_merged,occurrence,status,seat,entry_no
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Bags' Groove,bags' groove,,1,seated,List 1A,71
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Big Bertha,big bertha,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Blue Seven,blue seven,,1,seated,List 2,98
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Blues by Five,blues by five,,1,declined,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Blues in the Closet,blues in the closet,,1,seated,List 3,93
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Cold Duck Time,cold duck time,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Contemplation,contemplation,,1,seated,List 3,21
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Doxy,doxy,,1,seated,List 1A,16
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Edward Lee,edward lee,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Equinox,equinox,,1,seated,List 1A,85
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Freedom Jazz Dance,freedom jazz dance,,1,seated,List 1B,16
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Gingerbread Boy,gingerbread boy,,1,seated,List 2,104
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Groove Merchant,groove merchant,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Jive Samba,jive samba,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Jo Jo Calypso,jo jo calypso,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),The Jody Grind,jody grind,,1,declined,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Killer Joe,killer joe,,1,seated,List 1B,29
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Listen Here,listen here,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Little Sunflower,little sunflower,,1,seated,List 1A,29
B01,Sher,The Real Easy Book,vol 1 (printing not stated),"Mercy, Mercy, Mercy",mercy mercy mercy,,1,seated,List 1A,32
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Midnight Waltz,midnight waltz,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Mr. P. C.,mr p c,,1,seated,List 1A,87
B01,Sher,The Real Easy Book,vol 1 (printing not stated),One for Daddy-O,one for daddy o,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Red's Good Groove,red's good groove,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Revelation,revelation,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Road Song,road song,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Short Stuff,short stuff,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Shoshana,shoshana,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Sir John,sir john,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Sister Sadie,sister sadie,,1,seated,List 2,65
B01,Sher,The Real Easy Book,vol 1 (printing not stated),So Danço Samba,so danco samba,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Song for My Father,song for my father,,1,seated,List 1A,52
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Sonnymoon for Two,sonnymoon for two,,1,seated,List 1A,78
B01,Sher,The Real Easy Book,vol 1 (printing not stated),St. James Infirmary,st james infirmary,,1,seated,List 4,10
B01,Sher,The Real Easy Book,vol 1 (printing not stated),St. Thomas,st thomas,,1,seated,List 1A,53
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Straight Life,straight life,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Tenor Madness,tenor madness,,1,seated,List 1A,80
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Trail Dust,trail dust,,1,outside,,
B01,Sher,The Real Easy Book,vol 1 (printing not stated),When the Saints Go Marching In,when the saints go marching in,,1,seated,List 4,14
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Work Song,work song,,1,seated,List 1A,65
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Yardbird Suite,yardbird suite,,1,seated,List 1B,53
B01,Sher,The Real Easy Book,vol 1 (printing not stated),Z's Blues,z's blues,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Afro Blue,afro blue,,1,seated,List 1A,1
B02,Sher,The Real Easy Book,vol 2,Alice In Wonderland,alice in wonderland,,1,seated,List 2,4
B02,Sher,The Real Easy Book,vol 2,Are You Real?,are you real,,1,seated,List 3,6
