rank,title_as_ranked
597,9:20 Special
351,12th Street Rag
433,52nd Street Theme
966,An Affair to Remember
772,Afro Blue
828,After Hours
560,After I Say I'm Sorry
34,After You've Gone
532,Afternoon in Paris
32,Ain't Misbehavin'
650,Ain't She Sweet
448,Air Mail Special
293,Airegin
578,Alexander's Ragtime Band
545,Alfie
918,All Alone
248,All Blues
986,All By Myself
296,All God's Chillun Got Rhythm
950,All My Life
71,All of Me
356,All of You
387,All or Nothing At All
2,All the Things You Are
570,All the Way
509,All Through the Night
459,All Too Soon
700,Allen's Alley
265,Almost Like Being in Love
89,Alone Together
302,Always
486,Am I Blue
731,Amazing Grace
786,And the Angels Sing
67,Angel Eyes
483,Anthropology
921,Any Old Time
754,Anything Goes
130,April in Paris
365,As Long As I Live
266,As Time Goes By
475,Ask Me Now
869,At Last
909,At Long Last Love
812,At Sundown
513,At the Jazz Band Ball
575,"A-Tisket, A-Tasket"
523,Au Privave
958,Auld Lang Syne
901,Aunt Hagar's Blues
121,Autumn in New York
11,Autumn Leaves (Les Feuilles Mortes)
109,Avalon
917,Away in a Manger
629,Azure
898,"Baby, It's Cold Outside"
205,Baby Won't You Please Come Home
451,Back in Your Own Backyard
982,Back Water Blues
872,Bad and the Beautiful (Theme from the)
343,Bags' Groove
642,Baia
677,Ballin' the Jack
627,Barbados
182,Basin Street Blues
422,"Baubles, Bangles and Beads"
724,Be My Love
463,Beale Street Blues
592,Beautiful Love
440,Be-Bop
247,Begin the Beguine
967,Bei Mir Bist Du Schoen
321,Bemsha Swing
394,Bernie's Tune
294,Besame Mucho
539,"Bess, You Is My Woman Now"
878,The Best Is Yet to Come
789,The Best Thing for You
818,The Best Things in Life Are Free
157,Between the Devil and the Deep Blue Sea
335,Bewitched
733,Big Foot
975,Bill Bailey Won't You Please Come Home
112,Billie's Bounce
603,Birk's Works
501,Birth of the Blues
432,Black and Blue
837,Black and Tan Fantasy
892,Black Coffee
857,Blame It on My Youth
808,Blood Count
810,Bloomdido
327,Blue and Sentimental
557,Blue Bossa
426,Blue in Green
198,Blue Lou
185,Blue Monk
94,Blue Moon
548,Blue 'N' Boogie
429,Blue Room
129,Blue Skies
744,Blue Turning Grey Over You
602,Blueberry Hill
594,Blues in My Heart
543,Blues in the Closet
207,Blues in the Night
1,Body and Soul
875,Bohemia After Dark
324,Born to Be Blue
529,Bouncin' with Bud
911,Brazil
447,The Breeze and I
366,Broadway
224,Bugle Call Rag
133,But Beautiful
54,But Not for Me
827,By Myself
126,Bye Bye Blackbird
499,Bye Bye Blues
148,C Jam Blues
549,Cabin in the Sky
563,Canadian Sunset
716,Candy
339,Can't Help Lovin' Dat Man
632,Can't We Be Friends
17,Caravan
787,Careless Love
516,Carioca
790,Centerpiece
926,Change Partners
988,Charleston
799,Chasin' the Bird
914,Chattanooga Choo Choo
187,Cheek to Cheek
221,Chelsea Bridge
39,Cherokee (Indian Love Song)
612,Cherry
895,Cheryl
541,Chicago (That Toddlin' Town)
323,A Child Is Born
288,China Boy
703,Chinatown My Chinatown
441,Chloe
305,The Christmas Song
943,Christmas Time is Here
588,Christopher Columbus
847,Close Enough for Love
298,Close Your Eyes
585,Cocktails for Two
51,Come Rain or Come Shine
151,Come Sunday
802,Comes Love
301,Con Alma
868,Conception
218,Confirmation
906,The Continental
407,Coquette
382,Corcovado (Quiet Nights of Quiet Stars)
840,Cottage for Sale
233,Cottontail
388,Crazy He Calls Me
260,Crazy Rhythm
953,The Creole Love Call
423,Cry Me a River
765,Daahoud
257,Dancing in the Dark
671,Dancing on the Ceiling
649,Danny Boy
397,Dark Eyes
547,Darktown Strutters Ball
70,Darn That Dream
757,Davenport Blues
695,Day By Day
237,Day Dream
503,"Day In, Day Out"
135,Days of Wine and Roses
589,Dear Old Southland
430,Dear Old Stockholm
595,Dearly Beloved
573,Dedicated to You
338,Deed I Do
740,Deep in a Dream
836,Deep Night
295,Deep Purple
651,Deep River
713,Desafinado
572,Detour Ahead
859,Dexterity
134,Dinah
694,Dindi
881,Dizzy Atmosphere
211,Django
93,Do Nothin' Till You Hear from Me
687,Do You Know What It Means to Miss New Orleans
998,Doggin' Around
742,Dolphin Dance
194,Donna Lee
183,Don't Be That Way
38,Don't Blame Me
253,Don't Explain
104,Don't Get Around Much Anymore
832,Don't Go to Strangers
521,Don't Take Your Love from Me
177,Don't Worry 'Bout Me
452,Don't You Know I Care?
691,Doxy
442,Dream
910,Dream Dancing
995,Dream of You
566,Drop Me off in Harlem
833,The Duke
389,Early Autumn
125,East of the Sun (and West of the Moon)
662,Easter Parade
949,Easy Does It
80,Easy Living
122,Easy to Love
969,Echoes of Harlem
24,Embraceable You
506,Emily
392,The End of a Love Affair
346,Epistrophy
903,Equinox
720,Estate
976,Every Day I Have the Blues
931,Every Tub
507,Everybody Loves My Baby
811,Everything but You
102,Everything Happens to Me
579,Everything I Have Is Yours
761,Everything Must Change
497,Evidence
220,Ev'ry Time We Say Goodbye
773,Ev'rything I Love
842,Ev'rything I've Got (Belongs to You)
113,Exactly Like You
822,Exodus
289,Falling in Love with Love
413,Farewell Blues
329,Fascinating Rhythm
708,A Felicidade
856,Fever
823,Fidgety Feet
358,Fine and Dandy
941,Fine and Mellow
427,A Fine Romance
803,Five O'clock Whistle
146,Flamingo
809,The Flat Foot Floogie
398,A Flower Is a Lovesome Thing
352,Fly Me to the Moon (In Other Words)
256,Flying Home
88,A Foggy Day
471,The Folks Who Live on the Hill
460,Fools Rush in (Where Angels Fear to Tread)
618,Footprints
111,For All We Know
456,For Heaven's Sake
863,For Sentimental Reasons
723,For You
537,Four
942,Four Brothers
741,Four or Five Times
514,Frankie and Johnny
438,Frenesi
390,From This Moment On
150,Gee Baby Ain't I Good to You
44,Georgia on My Mind
169,Get Happy
410,Get Out of Town
254,Giant Steps
479,The Girl from Ipanema
611,Girl Talk
825,Glad to Be Unhappy
674,Gloomy Sunday
897,The Glory of Love
170,God Bless the Child
729,God Rest Ye Merry Gentlemen
883,Goin' Out of My Head
535,Goin' to Chicago Blues
143,Gone with the Wind
277,Good Bait
470,The Good Life
316,Good Morning Heartache
117,Goodbye
610,Goodbye Pork Pie Hat
743,Goodnight My Love
745,Green Eyes (Aquellos Ojos Verdes)
403,Greensleeves
186,Groovin' High
759,Guilty
894,Half Nelson
384,Hallelujah
721,Happiness Is a Thing Called Joe
807,Harlem Nocturne
994,Harvard Blues
880,Haunted Heart
222,Have You Met Miss Jones
457,Have Yourself a Merry Little Christmas
815,Heart and Soul
959,Heat Wave
758,Hello Dolly
928,Hello Young Lovers
100,Here's That Rainy Day
15,Honeysuckle Rose
383,Hot House
779,The Hour of Parting
450,How About You
582,How Am I to Know?
690,How Come You Do Me Like You Do
49,How Deep Is the Ocean?
21,How High the Moon
552,How Insensitive
213,How Long Has This Been Going On?
559,"How Long, How Long Blues"
668,Humoresque
415,I Ain't Got Nobody (and Nobody Cares for Me)
888,I Ain't Got Nothin' but the Blues
963,I Believe in You
166,I Can't Believe That You're in Love with Me
726,I Can't Escape from You
5,I Can't Get Started (with You)
162,I Can't Give You Anything but Love
920,I Can't Stop Loving You
290,I Concentrate on You
841,I Could Have Danced All Night
455,I Could Write a Book
50,I Cover the Waterfront
245,I Cried for You
500,I Didn't Know About You
82,I Didn't Know What Time It Was
464,I Don't Know Why (I Just Do)
66,(I Don't Stand A) Ghost of a Chance
300,I Fall in Love Too Easily
139,I Get a Kick Out of You
661,I Get Along Without You Very Well
61,I Got It Bad (and That Ain't Good)
73,I Got Rhythm
528,I Gotta Right to Sing the Blues
753,I Guess I'll Have to Change My Plan
286,I Hadn't Anyone Till You
227,I Hear a Rhapsody
414,I Hear Music
285,I Know That You Know
971,I Left My Heart in San Francisco
152,I Let a Song Go Out of My Heart
553,I Love Paris
119,I Love You
270,I Loves You Porgy
626,I May Be Wrong
625,I Mean You
564,I Must Have That Man
303,I Never Knew
191,I Only Have Eyes for You
138,I Remember Clifford
116,I Remember You
902,I See Your Face Before Me
47,I Should Care
95,I Surrender Dear
108,I Thought About You
866,I Waited for You
360,I Want a Little Girl
215,I Want to Be Happy
905,I Want to Talk About You
312,I Wish I Knew
984,I Wish You Love
386,I Wished on the Moon
999,I Won't Dance
750,(I Would Do) Anything for You
955,Idaho
491,If Dreams Come True
155,If I Could Be with You (One Hour Tonight)
65,If I Had You
788,If I Loved You
179,If I Should Lose You
466,If I Were a Bell
127,If You Could See Me Now
272,I'll Be Around
568,(I'll Be Glad When You're Dead) You Rascal You
453,I'll Be Seeing You
865,I'll Close My Eyes
531,I'll Get By (As Long As I Have You)
210,I'll Never Be the Same
428,I'll Never Smile Again
29,I'll Remember April
473,I'll See You in My Dreams
844,I'll String Along with You
672,I'll Take Romance
735,I'll Walk Alone
234,Ill Wind
319,I'm a Fool to Want You
896,I'm an Old Cowhand (From the Rio Grande)
229,I'm Beginning to See the Light
