order,form_group,band,title,list2_entry_no,watkins_contributors,miller_calls,js_rank,on_old_page
1,STANDARDS,overlap,Giant Steps,24,17,1,254,yes
2,STANDARDS,overlap,Good Bait,25,7,1,277,yes
3,STANDARDS,overlap,Hot House,30,7,2,383,yes
4,STANDARDS,overlap,Lady Bird,40,15,5,458,yes
5,STANDARDS,overlap,If I Were a Bell,33,8,4,466,yes
6,STANDARDS,overlap,Afternoon in Paris,3,7,2,532,NEW
7,STANDARDS,overlap,I Mean You,31,5,1,625,yes
8,STANDARDS,overlap,Countdown,14,5,1,,yes
9,STANDARDS,overlap,E.S.P.,19,5,2,,yes
10,STANDARDS,overlap,Fee-Fi-Fo-Fum,21,5,6,,yes
11,STANDARDS,overlap,Lazy Bird,41,6,1,,yes
12,STANDARDS,overlap,Speak No Evil,68,7,5,,NEW
13,STANDARDS,overlap,Witch Hunt,88,5,6,,yes
14,STANDARDS,one room,Woody'n You,90,,4,173,yes
15,STANDARDS,one room,You'd Be So Nice to Come Home To,93,6,,188,yes
16,STANDARDS,one room,Tangerine,72,,1,212,yes
17,STANDARDS,one room,Naima,47,,4,263,yes
18,STANDARDS,one room,Sugar,71,9,,269,yes
19,STANDARDS,one room,Whisper Not,86,9,,297,yes
20,STANDARDS,one room,Bemsha Swing,7,,5,321,yes
21,STANDARDS,one room,A Child Is Born,1,,1,323,yes
22,STANDARDS,one room,Epistrophy,18,,35,346,yes
23,STANDARDS,one room,Ruby My Dear,60,,1,355,yes
24,STANDARDS,one room,Bernie's Tune,8,,13,394,yes
25,STANDARDS,one room,Stablemates,69,10,,424,yes
26,STANDARDS,one room,Blue in Green,10,,4,426,yes
27,STANDARDS,one room,In Walked Bud,34,,10,495,yes
28,STANDARDS,one room,My Little Suede Shoes,46,,6,587,NEW
29,STANDARDS,one room,Jordu,38,,2,654,yes
30,STANDARDS,one room,Isfahan,37,,12,718,yes
31,STANDARDS,one room,West Coast Blues,84,,1,768,yes
32,STANDARDS,one room,Bohemia After Dark,12,,16,875,yes
33,STANDARDS,one room,Off Minor,51,,2,876,yes
34,STANDARDS,one room,Half Nelson,28,5,,894,yes
35,STANDARDS,one room,Peace,56,7,,923,yes
36,STANDARDS,one room,This I Dig Of You,76,,24,,NEW
37,STANDARDS,one room,Hackensack (AKA Rifftide),27,,4,,NEW
38,STANDARDS,one room,Infant Eyes,35,,3,,NEW
39,STANDARDS,one room,Samba De Orfeu,61,,2,,NEW
40,STANDARDS,one room,Up Jumped Spring,82,,2,,NEW
41,STANDARDS,one room,Alice In Wonderland,4,,1,,NEW
42,STANDARDS,one room,Bolivia,9,,1,,NEW
43,STANDARDS,one room,Four On Six,23,,1,,NEW
44,STANDARDS,one room,No More Blues (Chega de Saudade),50,,1,,NEW
45,STANDARDS,one room,Pent-Up House,57,,1,,NEW
46,STANDARDS,one room,Red Clay,59,,1,,NEW
47,STANDARDS,one room,Inner Urge,36,8,,,yes
48,STANDARDS,one room,Along Came Betty,5,7,,,NEW
49,STANDARDS,one room,Seven Steps To Heaven,62,6,,,NEW
50,STANDARDS,one room,Yes Or No,91,5,,,yes
51,STANDARDS,rank only,"Oh, Lady Be Good!",52,,,22,yes
52,STANDARDS,rank only,I Remember Clifford,32,,,138,yes
53,STANDARDS,rank only,Flamingo,22,,,146,yes
54,STANDARDS,rank only,Django,17,,,211,yes
55,STANDARDS,rank only,You and the Night and the Music,92,,,235,yes
56,STANDARDS,rank only,Con Alma,13,,,301,yes
57,STANDARDS,rank only,Never Let Me Go,49,,,332,yes
58,STANDARDS,rank only,Poinciana,58,,,334,yes
59,STANDARDS,rank only,When Lights Are Low,85,,,349,yes
60,STANDARDS,rank only,Without a Song,89,,,370,yes
61,STANDARDS,rank only,Be-Bop,6,,,440,yes
62,STANDARDS,rank only,Our Delight,53,,,467,yes
63,STANDARDS,rank only,Soul Eyes,66,,,477,yes
64,STANDARDS,rank only,Pannonica,54,,,494,yes
65,STANDARDS,rank only,Evidence,20,,,497,yes
66,STANDARDS,rank only,Waltz for Debby,83,,,512,yes
67,STANDARDS,rank only,Monk's Mood,45,,,542,yes
68,STANDARDS,rank only,Sister Sadie,65,,,544,NEW
69,STANDARDS,rank only,Upper Manhattan Medical Group,81,,,558,yes
70,STANDARDS,rank only,The Preacher,75,,,599,yes
71,STANDARDS,rank only,Shaw Nuff,63,,,601,yes
72,STANDARDS,rank only,The Peacocks,74,,,605,yes
73,STANDARDS,rank only,Tico Tico,77,,,615,yes
74,STANDARDS,rank only,Tin Tin Deo,78,,,623,yes
75,STANDARDS,rank only,Strollin',70,,,709,yes
76,STANDARDS,rank only,Sidewinder,64,,,727,yes
77,STANDARDS,rank only,Daahoud,15,,,765,yes
78,STANDARDS,rank only,Un Poco Loco,79,,,793,yes
79,STANDARDS,rank only,Monk's Dream,44,,,798,yes
80,BLUES,overlap,Bessie's Blues,94,5,1,,NEW
81,BLUES,one room,Misterioso,105,,2,484,yes
82,BLUES,one room,Cool Blues,101,,4,,NEW
83,BLUES,one room,Cousin Mary,102,,4,,NEW
84,BLUES,rank only,Blue 'N' Boogie,97,,,548,NEW
85,BLUES,rank only,Barbados,95,,,627,yes
86,BLUES,rank only,Cheryl,100,,,895,yes
87,MINOR BLUES,one room,Birk's Works,109,,8,603,yes
88,RHYTHM CHANGES,rank only,Move,114,,,510,yes
89,RHYTHM CHANGES,rank only,Salt Peanuts,116,,,796,yes
90,RHYTHM CHANGES,rank only,Dexterity,112,,,859,yes
91,RHYTHM CHANGES,rank only,Dizzy Atmosphere,113,,,881,yes
