order,form_group,title,entry_no,miller_calls,watkins_list1,watkins_list2,watkins_cat,js_rank,on_old_page
1,STANDARDS,500 Miles High,2,12,,,,,NEW
2,STANDARDS,Reflections,66,6,,,,706,yes
3,STANDARDS,Ask Me Now,7,5,,,,475,yes
4,STANDARDS,Black Nile,11,5,,,,,NEW
5,STANDARDS,Valse Hot,87,4,,,,,NEW
6,STANDARDS,Cheese Cake,17,3,,,,,NEW
7,STANDARDS,Goodbye Pork Pie Hat,36,2,,,,610,yes
8,STANDARDS,Brilliant Corners,15,2,,,,,NEW
9,STANDARDS,O Grande Amor,54,2,,,,,NEW
10,STANDARDS,Bright Mississippi,14,1,,,,,NEW
11,STANDARDS,Central Park West,16,1,,,,,NEW
12,STANDARDS,Night Dreamer,52,1,,,,,NEW
13,STANDARDS,One By One,56,1,,,,,NEW
14,STANDARDS,Dear Old Stockholm,26,,,,,430,yes
15,STANDARDS,Bouncin' with Bud,10,,,,,529,yes
16,STANDARDS,Trinkle Tinkle,84,,,,,647,yes
17,STANDARDS,Ray's Idea,65,,,,,780,yes
18,STANDARDS,Blood Count,12,,,,,808,yes
19,STANDARDS,Lament,45,,,,,820,yes
20,STANDARDS,Sometime Ago,71,,,,,831,yes
21,STANDARDS,The Duke,76,,,,,833,yes
22,STANDARDS,Conception,20,,,,,868,yes
23,BLUES,Twisted,115,17,,,3,,NEW
24,BLUES,Blues in the Closet,93,9,,,5,543,yes
25,BLUES,Bolivar Blues,94,5,,,2,,NEW
26,BLUES,Solid (Shaw),112,2,,,,,NEW
27,BLUES,Buzzy,97,1,,,3,,NEW
28,BLUES,Parker's Mood,108,,,,2,488,yes
29,BLUES,Big Foot,91,,,,,733,yes
30,BLUES,Relaxin' At Camarillo,110,,,,3,748,yes
31,BLUES,Bloomdido,92,,,,3,810,yes
32,BLUES,Sippin' At Bell's,111,,,,3,851,yes
33,MINOR BLUES,Five Spot After Dark,121,4,,,2,,NEW
34,RHYTHM CHANGES,"52nd Street Theme (AKA, The Theme)",126,,,,5,433,yes
35,RHYTHM CHANGES,Allen's Alley (wee),128,,,,3,700,yes
36,RHYTHM CHANGES,Chasin' the Bird,130,,,,2,799,yes
37,RHYTHM CHANGES,Ow!,135,,,,,858,yes
38,RHYTHM CHANGES,Red Cross,136,,,,,978,yes
