page,order,title,seat,entry_no,tag_by_rule,marked_in_draft103,miller_calls,watkins_list1,watkins_list2,js_rank
List 4,1,On the Sunny Side of the Street,4,55,M,yes,20,,,55
List 4,2,It Don't Mean a Thing,4,80,WM,yes,5,,6,84
List 4,3,In a Mellotone,4,79,WM,yes,4,15,,140
List 4,4,Sweet Georgia Brown,4,59,WM,yes,1,11,,16
List 4,5,Perdido,4,56,WM,yes,1,10,,58
List 4,6,Stompin' at the Savoy,4,58,WM,yes,1,,6,48
List 4,7,Star Dust,4,22,W,yes,,,8,12
List 4,8,Indiana,4,39,W,yes,,,9,41
List 5,1,Moonlight in Vermont,5A,48,WM,yes,7,,5,141
List 5,2,Lover Man,5A,43,WM,yes,6,11,,7
List 5,3,I Thought About You,5A,34,WM,yes,4,,8,108
List 5,4,What's New?,5A,78,WM,yes,2,11,,14
List 5,5,Skylark,5A,60,WM,yes,2,,8,62
List 5,6,The Nearness of You,5A,72,WM,yes,2,,5,64
List 5,7,Darn That Dream,5A,9,WM,yes,2,,9,70
List 5,8,My Foolish Heart,5A,49,WM,yes,1,10,,103
List 5,9,Tenderly,5A,69,WM,yes,1,,9,26
List 5,10,I Should Care,5A,32,WM,yes,1,,5,47
List 5,11,When I Fall in Love,5B,69,WM,no,1,,6,137
List 5,12,Willow Weep For Me,5A,79,W,no,,,5,13
List 5,13,The Way You Look Tonight,5A,73,W,no,,,8,27
List 5,14,Prelude to a Kiss,5A,57,W,no,,,8,46
List 5,15,Someone to Watch Over Me,5A,64,W,no,,,5,77
List 5,16,It Might As Well Be Spring,5A,39,W,no,,,5,114
List 5,17,It Had to Be You,5A,38,W,no,,,6,361
List 5,18,Watch What Happens,5B,66,W,no,,,6,400
List 5,19,I Could Write a Book,5B,23,W,no,,,5,455
List 5,20,Emily,5A,15,W,no,,,8,506
List 5,21,Once I Loved,5A,55,W,no,,,6,683
List 5,22,Witchcraft,5B,74,W,no,,,5,705
