search_form,seated_as,tier,entry_no,match_key
"52nd Street Theme (AKA, The Theme)",52nd Street Theme,List 3,126,52ndstreettheme
Afternoon In Paris,Afternoon in Paris,List 2,3,afternooninparis
and West of the Moon,East of the Sun,List 5A,12,eastofthesun
Autumn Leaves (Les Feuilles Mortes),Autumn Leaves,List 1A,5,autumnleaves
Back Home Again In Indiana,Indiana,List 4,39,indiana
Bean And The Boys (AKA Burt Covers Bud),Bean and the Boys,List 3,8,beanandtheboys
Bessie's Blues,Bessie's Blues,List 2,94,bessiesblues
Black Orpheus,Manha De Carnaval,List 1A,31,manhadecarnaval
Blue Bolivar Blues,Bolivar Blues,List 3,94,bolivarblues
Blue Train,Blue Trane,List 1A,84,bluetrane
"Blues Walk, The",The Blues Walk,List 1A,81,blueswalk
Body & Soul,Body and Soul,List 1A,8,bodyandsoul
Burt Covers Bud,Bean and the Boys,List 3,8,beanandtheboys
But Don't Tease Me,Just Squeeze Me,List 4,83,justsqueezeme
Can't Help Lovin That Man,Can’t Help Lovin’ Dat Man,List 5C,9,canthelplovindatman
Can't Take That Away From Me,They Can't Take That Away from Me,List 5A,76,theycanttakethatawayfromme
Chega De Saudade,No More Blues,List 2,50,nomoreblues
Cherokee (Indian Love Song),Cherokee,List 1A,11,cherokee
Corcovado (Quiet Nights of Quiet Stars),Corcovado,List 1A,13,corcovado
Darn That Dream,Darn That Dream,List 5A,9,darnthatdream
A Day In The Life Of A Fool,Manha De Carnaval,List 1A,31,manhadecarnaval
Dippermouth Blues,Sugar Foot Stomp,List 4,47,sugarfootstomp
Do Nothing Till You Hear From Me,Do Nothin' Till You Hear from Me,List 5A,10,donothintillyouhearfromme
Drinkin' And Drivin',502 Blues,List 3,3,502blues
Duke's Place,C Jam Blues,List 4,90,cjamblues
East Of The Sun And West Of The Moon,East of the Sun,List 5A,12,eastofthesun
E.S.P.,E.S.P.,List 2,19,esp
Eternal Triangle,The Eternal Triangle,List 2,115,eternaltriangle
Fee Fi Fo Fum,Fee-Fi-Fo-Fum,List 2,21,feefifofum
Fly Me to the Moon (In Other Words),Fly Me to the Moon,List 5A,19,flymetothemoon
Foggy Day,A Foggy Day,List 1B,1,foggyday
"Foggy Day, A",A Foggy Day,List 1B,1,foggyday
Fools Rush in (Where Angels Fear to Tread),Fools Rush in,List 5B,19,foolsrushin
Freddie the Freeloader,Freddie Freeloader,List 1A,75,freddiefreeloader
Georgia,Georgia on My Mind,List 1B,17,georgiaonmymind
Girl From Ipanema,The Girl From Ipanema,List 1A,57,girlfromipanema
