year,title
Freshman,Afternoon In Paris
Freshman,All of Me
Freshman,Autumn Leaves
Freshman,Bag's Groove
Freshman,Blue Bossa
Freshman,Blue Monk
Freshman,But Not for Me
Freshman,Bye Bye Blackbird
Freshman,Cantaloupe Island
Freshman,Days of Wine and Roses
Freshman,Doxy
Freshman,Equinox
Freshman,Four
Freshman,Freddie Freeloader
Freshman,Good Bait
Freshman,I Got Rhythm
Freshman,Impressions
Freshman,Killer Joe
Freshman,Little Sunflower
Freshman,Maiden Voyage
Freshman,My Romance
Freshman,Now's the Time
Freshman,Perdido
Freshman,Satin Doll
Freshman,Song for My Father
Freshman,Sonnymoon for Two
Freshman,St. James Infirmary
Freshman,St. Louis Blues
Freshman,St. Thomas
Freshman,Straight No Chaser
Freshman,Summertime
Freshman,Take the 'A' Train
Freshman,Tenor Madness
Freshman,Things Ain't What They Used to Be
Freshman,Walkin'
Freshman,Watermelon Man
Freshman,Yardbird Suite
Sophomore,All Blues
Sophomore,All of Me
Sophomore,All the Things You Are
Sophomore,Alone Together
Sophomore,Anthropology
Sophomore,Back Home Again in Indiana
Sophomore,Bessie's Blues
Sophomore,Billie's Bounce
Sophomore,Black Orpheus
Sophomore,Blue Bossa
Sophomore,Blues for Alice
Sophomore,Bluesette
Sophomore,Body & Soul
Sophomore,But Not for Me
Sophomore,Bye Bye Blackbird
Sophomore,Caravan
Sophomore,Corcovado
Sophomore,Darn that Dream
Sophomore,Don't Get Around Much Anymore
Sophomore,"Foggy Day, A"
Sophomore,Footprints
Sophomore,Freedom Jazz Dance
Sophomore,Georgia on My Mind
Sophomore,Girl from Ipanema
Sophomore,Groovin' High
Sophomore,Have You Met Miss Jones?
Sophomore,Honeysuckle Rose
Sophomore,How High the Moon
Sophomore,How Insensitive
Sophomore,I Can't Get Started
Sophomore,I Could Write a Book
Sophomore,I Got Rhythm
Sophomore,I Love You
Sophomore,In a Mellow Tone
Sophomore,In a Sentimental Mood
Sophomore,Invitation
Sophomore,Lady Bird
Sophomore,Lover Man
Sophomore,Lullaby of Birdland
Sophomore,Maiden Voyage
Sophomore,Meditation
Sophomore,Misty
Sophomore,Mr. P.C.
Sophomore,My Funny Valentine
Sophomore,My Shining Hour
Sophomore,"Nearness of You, The"
Sophomore,"Night Has a Thousand Eyes, The"
Sophomore,On Green Dolphin Street
Sophomore,Once I Loved
Sophomore,Recorda me
Sophomore,Scrapple from the Apple
Sophomore,Seven Steps to Heaven
Sophomore,So What
Sophomore,Softly as in a Morning Sunrise
Sophomore,Solar
Sophomore,Some Day My Prince Will Come
Sophomore,Stardust
Sophomore,Stolen Moments
Sophomore,Stompin' at the Savoy
Sophomore,Sugar
Sophomore,Sweet Georgia Brown
Sophomore,There Is No Greater Love
Sophomore,There Will Never be Another You
Sophomore,Tune Up
Sophomore,Watch What Happens
Sophomore,Wave
Sophomore,"Way You Look Tonight, The"
Sophomore,When I Fall in Love
Sophomore,Yardbird Suite
Junior,All of You
Junior,Alone Together
Junior,Along Came Betty
Junior,Anthropology
Junior,Au Privave
Junior,Back Home Again in Indiana
Junior,Beautiful Love
Junior,Blues for Alice
Junior,Body & Soul
Junior,But Beautiful
Junior,Caravan
Junior,Ceora
Junior,Cherokee
Junior,Come Rain or Come Shine
Junior,Confirmation
Junior,Corcovado
Junior,Desafinado
Junior,Embraceable You
Junior,Giant Steps
Junior,Girl from Ipanema
Junior,Half Nelson
Junior,Have You Met Miss Jones?
Junior,Here's that Rainy Day
Junior,Hot House
Junior,How Deep is the Ocean?
Junior,I Love You
Junior,I Mean You
Junior,I Remember You
Junior,I Should Care
Junior,I Thought About You
Junior,I'll Remember April
Junior,If I were a Bell
Junior,In a Sentimental Mood
Junior,Inner Urge
Junior,Invitation
Junior,It Could Happen to You
Junior,It Don't Mean a Thing
Junior,It Had to Be You
Junior,It Might as Well Be Spring
Junior,It's You or No One
Junior,Joy Spring
Junior,Just Friends
Junior,Laura
Junior,Lazy Bird
Junior,Like Someone in Love
Junior,Love for Sale
Junior,Milestones (new)
Junior,Moment's Notice
Junior,Moonlight in Vermont
Junior,My Favorite Things
Junior,My Foolish Heart
Junior,Nardis
Junior,Nica's Dream
Junior,Night and Day
Junior,"Night in Tunisia, A"
Junior,Oleo
Junior,One Note Samba
Junior,Ornithology
Junior,Our Love is Here to Stay
Junior,Out of Nowhere
Junior,Over the Rainbow
Junior,Polka Dots and Moonbeams
Junior,Round Midnight
Junior,Scrapple from the Apple
Junior,Seven Steps to Heaven
Junior,"Shadow of Your Smile, The"
Junior,Skylark
Junior,So What
Junior,Solar
Junior,Someone To Watch Over Me
Junior,"Song is You, The"
Junior,Speak Low
Junior,Speak No Evil
Junior,Star Eyes
Junior,Stella by Starlight
Junior,Sweet Georgia Brown
Junior,Take 5
Junior,Tenderly
Junior,Triste
Junior,Waltz for Debbie
Junior,"Way You Look Tonight, The"
Junior,Well You Needn't
Junior,What is This Thing Called Love?
Junior,Whisper Not
Junior,Willow Weep for Me
Junior,Witch Hunt
Junior,Witchcraft
Junior,Yes or No
