contributors,title
9,Airegin
9,Angel Eyes
9,Back Home Again in Indiana
9,Darn that Dream
9,Embraceable You
9,"Foggy Day, A"
9,Groovin' High
9,Honeysuckle Rose
9,Love for Sale
9,My One and Only Love
9,One Note Samba
9,Scrapple from the Apple
9,Sugar
9,Tenderly
9,Tenor Madness
9,Whisper Not
8,Beautiful Love
8,Bluesette
8,Don't Get Around Much Anymore
8,Emily
8,Freddie Freeloader
8,Georgia on My Mind
8,I Thought About You
8,If I Were a Bell
8,Inner Urge
8,Little Sunflower
8,Prelude to a Kiss
8,Skylark
8,"Song is You, The"
8,Sonnymoon for Two
8,Stardust
3,Take 5
8,Watermelon Man
8,"Way You Look Tonight, The"
7,Afternoon In Paris
7,Along Came Betty
7,Au Privave
7,Bag's Groove
7,Cantaloupe Island
7,Good Bait
7,Hot House
7,How Insensitive
7,I Remember You
7,Killer Joe
7,Laura
7,Lullaby of Birdland
7,Meditation
7,Nardis
7,Over the Rainbow
7,Peace
7,Sophisticated Lady
7,Speak No Evil
7,Stolen Moments
1,Four in One
6,All of You
6,Come Rain or Come Shine
6,Freedom Jazz Dance
6,I Got Rhythm
6,It Don't Mean a Thing
6,It Had to Be You
6,Lazy Bird
6,My Shining Hour
6,Once I Loved
6,Our Love is Here to Stay
6,Polka Dots and Moonbeams
6,Seven Steps to Heaven
6,Stompin' at the Savoy
6,Watch What Happens
6,When I Fall in Love
6,You'd be so Nice to Come Home To
5,Beatrice
5,Bessie's Blues
5,But Beautiful
5,Countdown
5,E.S.P.
5,Equinox
5,Fee Fi Fo Fum
5,Half Nelson
5,How Deep is the Ocean?
5,I Could Write a Book
5,I Mean You
5,I Should Care
5,It Might as Well Be Spring
5,It's You or No One
5,Milestones (new)
5,Moonlight in Vermont
5,My Favorite Things
5,"Nearness of You, The"
5,"Night Has a Thousand Eyes, The"
5,Someone To Watch Over Me
5,Things Ain't What They Used to Be
5,Walkin'
5,Willow Weep for Me
5,Witch Hunt
5,Witchcraft
5,Yes or No
