title	warrant_1_rank	warrant_2_chapter	watkins_list1	watkins_list2	watkins_categorical	miller_calls	scan_mark_by_rule	graded_volumes	graded_floor	panel_reaches	verdict	division	tier	ground_if_declined
9:20 Special	597							0						
12th Street Rag	351							0						
26-2		yes						0		yes				
52nd Street Theme	433				2			0						
502 Blues (AKA Drinkin' And Drivin')		yes						0						
Adam's Apple		yes						0						
An Affair to Remember	966							0						
Afro Blue	772					14	M	2	Foundational	yes				
Afro-Centric		yes						0						
After Hours	828							0						
After I Say I'm Sorry	560							0						
After The Rain		yes						0						
After You've Gone	34							1	Foundational	yes				
Afternoon in Paris	532			7		2	WM	2	Foundational	yes				
Ah-Leu-Cha		yes						0						
Ain't Misbehavin'	32					1		2	Foundational	yes				
Ain't She Sweet	650							0						
Air Mail Special	448							0						
Airegin	293			9		1	WM	0		yes				
Aisha		yes						0						
Alexander's Ragtime Band	578							1	Intermediate					
Alfie	545							0						
Alice In Wonderland		yes				1		1	Intermediate	yes				
All Alone	918							0						
All Blues	248		12		18	18	WM	1	Foundational	yes				
All By Myself	986							0						
All God's Chillun Got Rhythm	296							0						
All My Life	950							0						
All of Me	71		11			25	WM	2	Foundational	yes				
All of You	356			6			W	0		yes				
All or Nothing At All	387							0						
All the Things You Are	2		29			14	WM	1	Foundational	yes				
All the Way	570							0						
All Through the Night	509							0						
All Too Soon	459							0						
Allen's Alley	700				3			0						
Almost Like Being in Love	265							0		yes				
Alone Together	89		23			1	WM	0		yes				
Along Came Betty		yes		7			W	0		yes				
Always	302							0						
Am I Blue	486							0						
Amazing Grace	731							0						
Ambrosia		yes						0						
Ana Maria		yes						0		yes				
And the Angels Sing	786							0						
Angel Eyes	67			9		2	WM	0		yes				
Angola		yes						0						
Anthropology	483		11		17	10	WM	0		yes				
Any Old Time	921							0						
Anything Goes	754							0						
Apex		yes						0						
April in Paris	130					1		1	Emerging Intermediate	yes				
Are You Real?		yes						1	Intermediate	yes				
Arietis		yes						0						
As Long As I Live	365							0						
As Time Goes By	266							0		yes				
Ask Me Now	475					5		0		yes				
At Last	869					3		0						
At Long Last Love	909							0						
At Sundown	812							0						
At the Jazz Band Ball	513							0						
A-Tisket, A-Tasket	575							1	Foundational					
Au Privave	523			7	12	5	WM	1	Intermediate	yes				
Auld Lang Syne	958							0						
Aunt Hagar's Blues	901							0						
Autumn in New York	121					1		0		yes				
Autumn Leaves (Les Feuilles Mortes)	11		28			22	WM	2	Foundational	yes				
Autumn Nocturne		yes						0						
Autumn Serenade		yes						0						
Avalon	109							0						
Away in a Manger	917							0						
Azure	629							0						
Baby, It's Cold Outside	898							0						
Baby Won't You Please Come Home	205							0						
Back in Your Own Backyard	451							0						
Back Water Blues	982							0						
Backstage Sally		yes						0						
Bad and the Beautiful (Theme from the)	872							0						
Bags' Groove	343			7	10	16	WM	2	Foundational	yes				
Baia	642							1	Foundational					
Ballin' the Jack	677							1	Foundational					
Ba-lue Bolivar Ba-lues-are (AKA Bolivar Blues)		yes						0						
Barbados	627				4			0						
Barbara		yes						1	Intermediate					
Barracudas		yes						0						
Basin Street Blues	182					1		1	Emerging Intermediate					
Bass Blues		yes						0						
Baubles, Bangles and Beads	422							0						
Be My Love	724							0						
Beale Street Blues	463							0						
Bean And The Boys (AKA Burt Covers Bud)		yes						0		yes				
Beatrice		yes		5		9	WM	0		yes				
A Beautiful Friendship		yes						0						
Beautiful Love	592			8		17	WM	0		yes				
Be-Bop	440							0		yes				
Begin the Beguine	247							1	Foundational					
Bei Mir Bist Du Schoen	967							0						
Bemsha Swing	321				3	5		0		yes				
Bernie's Tune	394					13	M	1	Intermediate	yes				
Besame Mucho	294					2		0						
Bess, You Is My Woman Now	539							0						
Bessie's Blues		yes		5	8	1	WM	0		yes				
The Best Is Yet to Come	878							0						
The Best Thing for You	789							0						
The Best Things in Life Are Free	818							0						
Between the Devil and the Deep Blue Sea	157							0						
Bewitched	335							0		yes				
Beyond All Limits		yes						0		yes				
Big Foot	733							0						
Big Nick		yes						0						
The Big Push		yes						0						
Bill		yes						0						
Bill Bailey Won't You Please Come Home	975							1	Intermediate					
Billie's Bounce	112		17		25	37	WM	1	Emerging Intermediate	yes				
Billy Boy		yes						0						
Birdlike		yes			3			0						
Birk's Works	603				7	8		1	Foundational	yes				
Birth of the Blues	501							1	Intermediate					
Bittersweet		yes						0						
Black and Blue	432							0						
Black and Tan Fantasy	837							0						
Black Coffee	892				2	4		0						
Black Narcissus		yes						0		yes				
Black Nile		yes				5		0						
Blame It on My Youth	857							0						
The Blessing		yes						0						
Blood Count	808							0		yes				
Bloomdido	810				3			1	Foundational					
Blue and Sentimental	327							0						
Blue Bossa	557		21			32	WM	1	Emerging Intermediate	yes				
Blue Daniel		yes						0		yes				
Blue in Green	426					4		0		yes				
Blue Lou	198							0						
Blue Monk	185		11		18	19	WM	1	Emerging Intermediate	yes				
Blue Moon	94					1		1	Emerging Intermediate	yes				
Blue 'N' Boogie	548				2			0						
Blue Room	429							0						
Blue Seven		yes			2			2	Foundational					
Blue Silver		yes						0						
Blue Skies	129					2		0		yes				
Blue Spirits		yes						0						
Blue Trane		yes			9	4		3	Foundational	yes				
Blue Turning Grey Over You	744							0						
Blueberry Hill	602							0						
Bluebird		yes						0						
Blues By Five		yes			3	1		1	Foundational					
Blues For Alice		yes	10		15	5	WM	0		yes				
Blues For Wood		yes						0		yes				
Blues in My Heart	594							0						
Blues in the Closet	543				5	9		2	Foundational	yes				
Blues in the Night	207							3	Foundational					
Blues March		yes			3			3	Foundational	yes				
Blues Minor		yes						0						
Blues On The Corner		yes			2			0						
The Blues Walk		yes			5			1	Emerging Intermediate	yes				
Bluesette		yes		8			W	0		yes				
Body and Soul	1		27			15	WM	0		yes				
Bohemia After Dark	875					16	M	0						
Bolivia		yes				1		0		yes				
Book's Bossa		yes						0						
Boplicity		yes						0						
Born to Be Blue	324							0						
Bouncin' with Bud	529							0						
The Boy Next Door		yes						0						
Brazil	911							0						
The Breeze and I	447							0						
Bright Mississippi		yes				1		0						
Brilliant Corners		yes				2		0						
Brite Piece		yes						0						
Broadway	366					11	M	0						
Brownskin Girl		yes						0						
Bugle Call Rag	224							0						
But Beautiful	133			5		2	WM	0		yes				
