index	seat	title	rank	ranking_form	chapter_form	guide_form	watkins_list1_count	watkins_list2_count	watkins_categorical_total	watkins_categorical_survey	watkins_categorical_added	watkins_categorical_column	watkins_graded_years	miller_calls	miller_top201	source_forms
1A	1	Afro Blue	772	Afro Blue	Afro Blue									14	Y	ML:Afro Blue
1A	2	All of Me	71	All of Me	All Of Me	All of Me	11						Freshman; Sophomore	25	Y	W1:All of Me | ML:All Of Me
1A	3	All The Things You Are	2	All the Things You Are	All The Things You Are	All the Things You Are	29						Sophomore	14	Y	W1:All the Things You Are | ML:All The Things You Are
1A	4	Alone Together	89	Alone Together	Alone Together	Alone Together	23						Sophomore; Junior	1	Y	W1:Alone Together | ML:Alone Together
1A	5	Autumn Leaves	11	Autumn Leaves (Les Feuilles Mortes)	Autumn Leaves	Autumn Leaves	28						Freshman	22	Y	W1:Autumn Leaves | ML:Autumn Leaves
1A	6	Blue Bossa	557	Blue Bossa	Blue Bossa	Blue Bossa	21						Freshman; Sophomore	32	Y	W1:Blue Bossa | ML:Blue Bossa
1A	7	Body and Soul	1	Body and Soul	Body And Soul	Body and Soul	27						Sophomore; Junior	15	Y	W1:Body & Soul | ML:Body And Soul
1A	8	Bye Bye Blackbird	126	Bye Bye Blackbird	Bye Bye Blackbird	Bye Bye Blackbird	14						Freshman; Sophomore	16	Y	W1:Bye Bye Blackbird | ML:Bye Bye Blackbird
1A	9	Cantaloupe Island			Canteloupe Island	Cantaloupe Island		7					Freshman	3	Y	W2:Cantaloupe Island | ML:Cantaloupe Island
1A	10	Caravan	17	Caravan	Caravan	Caravan	10						Sophomore; Junior	45	Y	W1:Caravan | ML:Caravan
1A	11	Cherokee	39	Cherokee (Indian Love Song)	Cherokee	Cherokee	21						Junior; Senior	21	Y	W1:Cherokee | ML:Cherokee
1A	12	Confirmation	218	Confirmation	Confirmation	Confirmation	16						Junior; Senior	1	Y	W1:Confirmation | ML:Confirmation
1A	13	Corcovado	382	Corcovado (Quiet Nights of Quiet Stars)	Corcovado	Corcovado	15						Sophomore; Junior	18	Y	W1:Corcovado | ML:Corcovado
1A	14	Days of Wine and Roses	135	Days of Wine and Roses	Days Of Wine And Roses	Days of Wine and Roses	17						Freshman	11	Y	W1:Days of Wine and Roses | ML:Days Of Wine And Roses
1A	15	Donna Lee	194	Donna Lee	Donna Lee	Donna Lee	14						Senior	6	Y	W1:Donna Lee | ML:Donna Lee
1A	16	Doxy	691	Doxy	Doxy		13						Freshman	17	Y	W1:Doxy | ML:Doxy
1A	17	Four	537	Four	Four		12						Freshman	21	Y	W1:Four | ML:Four
1A	18	Have You Met Miss Jones	222	Have You Met Miss Jones	Have You Met Miss Jones	Have You Met Miss Jones?	22						Sophomore; Junior	6	Y	W1:Have You Met Miss Jones? | ML:Have You Met Miss Jones
1A	19	Here's That Rainy Day	100	Here's That Rainy Day	Here's That Rainy Day	Here’s That Rainy Day	13						Junior	1	Y	W1:Here's that Rainy Day | ML:Here's That Rainy Day
1A	20	How High the Moon	21	How High the Moon	How High The Moon	How High the Moon	14						Sophomore	10	Y	W1:How High the Moon | ML:How High The Moon
1A	21	I Love You	119	I Love You	I Love You	I Love You	20						Sophomore; Junior	0	Y	W1:I Love You
1A	22	Impressions	771	Impressions	Impressions	Impressions	16						Freshman	2	Y	W1:Impressions | ML:Impressions
1A	23	In a Sentimental Mood	19	In a Sentimental Mood	In A Sentimental Mood	In a Sentimental Mood	22						Sophomore; Junior	4	Y	W1:In a Sentimental Mood | ML:In A Sentimental Mood
1A	24	Invitation	252	Invitation	Invitation	Invitation	15						Sophomore; Junior	26	Y	W1:Invitation | ML:Invitation
1A	25	It Could Happen to You	60	It Could Happen to You	It Could Happen To You	It Could Happen to You	13						Junior	20	Y	W1:It Could Happen to You | ML:It Could Happen To You
1A	26	Joy Spring	511	Joy Spring	Joy Spring	Joy Spring	20						Junior; Senior	2	Y	W1:Joy Spring | ML:Joy Spring
1A	27	Just Friends	85	Just Friends	Just Friends	Just Friends	21						Junior	8	Y	W1:Just Friends | ML:Just Friends
1A	28	Like Someone in Love	147	Like Someone in Love	Like Someone In Love	Like Someone in Love	15						Junior	2	Y	W1:Like Someone in Love | ML:Like Someone In Love
1A	29	Little Sunflower			Little Sunflower			8					Freshman	7	Y	W2:Little Sunflower | ML:Little Sunflower
1A	30	Maiden Voyage	952	Maiden Voyage	Maiden Voyage	Maiden Voyage	13						Freshman; Sophomore	3	Y	W1:Maiden Voyage | ML:Maiden Voyage
1A	31	Manha De Carnaval			Manha De Carnaval	Manhã de Carnaval	15						Sophomore	41	Y	W1:Black Orpheus | ML:Black Orpheus
1A	32	Mercy, Mercy, Mercy			Mercy, Mercy, Mercy									5	Y	ML:Mercy Mercy Mercy
1A	33	Milestones (modal)	287	Milestones	Milestones (new)	Milestones		5					Junior	10	Y	W2:Milestones (new) | ML:Milestones
1A	34	Misty	56	Misty	Misty	Misty	16						Sophomore	10	Y	W1:Misty | ML:Misty
1A	35	Moment's Notice	576	Moment's Notice	Moment's Notice	Moment’s Notice	13						Junior; Senior	0	Y	W1:Moment's Notice
1A	36	My Favorite Things	333	My Favorite Things	My Favorite Things	My Favorite Things		5					Junior	5	Y	W2:My Favorite Things | ML:My Favourite Things
1A	37	My Funny Valentine	6	My Funny Valentine	My Funny Valentine	My Funny Valentine	15						Sophomore	5	Y	W1:My Funny Valentine | ML:My Funny Valentine
1A	38	My Romance	91	My Romance	My Romance	My Romance	12						Freshman	0	Y	W1:My Romance
1A	39	Nardis	633	Nardis	Nardis	Nardis		7					Junior	12	Y	W2:Nardis | ML:Nardis
1A	40	Night and Day	33	Night and Day	Night And Day	Night and Day	16						Junior	7	Y	W1:Night and Day | ML:Night and Day
1A	41	Night in Tunisia	40	Night in Tunisia		Night in Tunisia	14						Junior	44	Y	W1:Night in Tunisia | ML:Night In Tunisia
1A	42	On Green Dolphin Street	25	On Green Dolphin Street		On Green Dolphin Street	26						Sophomore	33	Y	W1:On Green Dolphin Street | ML:On Green Dolphin Street
1A	43	Ornithology	462	Ornithology	Ornithology	Ornithology	10						Junior	25	Y	W1:Ornithology | ML:Ornithology
1A	44	Out of Nowhere	68	Out of Nowhere	Out Of Nowhere	Out of Nowhere	10						Junior	2	Y	W1:Out of Nowhere | ML:Out Of Nowhere
1A	45	Recordame			Recordame		18						Sophomore	52	Y	W1:Recorda me | ML:Recordame
1A	46	'Round Midnight	4	'Round Midnight	Round Midnight	’Round Midnight	17						Junior; Senior	4	Y	W1:'Round Midnight | ML:Round Midnight
1A	47	Satin Doll	45	Satin Doll	Satin Doll	Satin Doll	17						Freshman	5	Y	W1:Satin Doll | ML:Satin Doll
1A	48	So What	435	So What	So What	So What	14						Sophomore; Junior	11	Y	W1:So What | ML:So What
1A	49	Softly As in a Morning Sunrise	132	Softly As in a Morning Sunrise	Softly As In A Morning Sunrise	Softly, as in a Morning Sunrise	18						Sophomore	24	Y	W1:Softly as in a Morning Sunrise | ML:Softly As In A Morning Sunrise
1A	50	Solar	402	Solar	Solar	Solar	14						Sophomore; Junior	18	Y	W1:Solar | ML:Solar
1A	51	Someday My Prince Will Come	240	Someday My Prince Will Come	Someday My Prince Will Come	Someday My Prince Will Come	19						Sophomore	12	Y	W1:Some Day My Prince Will Come | ML:Some Day My Prince Will Come
1A	52	Song For My Father			Song For My Father	Song for My Father	10						Freshman	13	Y	W1:Song for My Father | ML:Song For My Father
1A	53	St. Thomas	371	St. Thomas	St. Thomas	St. Thomas	12						Freshman	29	Y	W1:St. Thomas | ML:St Thomas
1A	54	Stella By Starlight	10	Stella By Starlight	Stella By Starlight	Stella by Starlight	26						Junior	12	Y	W1:Stella by Starlight | ML:Stella By Starlight
1A	55	Summertime	3	Summertime	Summertime	Summertime	16						Freshman	17	Y	W1:Summertime | ML:Summertime
1A	56	"Take the ""A"" Train"	23	"""Take the """"A"""" Train"""	"Take The ""A"" Train"	Take the A Train	26						Freshman	21	Y	W1:Take the 'A' Train | ML:Take The A Train
1A	57	The Girl From Ipanema	479	The Girl from Ipanema	The Girl From Ipanema	The Girl from Ipanema	17						Sophomore; Junior	16	Y	W1:Girl from Ipanema | ML:Girl From Ipanema
1A	58	There Is No Greater Love	52	There Is No Greater Love	There Is No Greater Love	There Is No Greater Love	18						Sophomore	17	Y	W1:There Is No Greater Love | ML:There Is No Greater Love
1A	59	There Will Never Be Another You	43	There Will Never Be Another You	There Will Never Be Another You	There Will Never Be Another You	26						Sophomore	31	Y	W1:There Will Never be Another You | ML:There Will Never Be Another You
1A	60	Tune Up	652	Tune Up	Tune Up		11						Sophomore	2	Y	W1:Tune Up | ML:Tune up
1A	61	Watermelon Man	609	Watermelon Man	Watermelon Man	Watermelon Man		8	14	8	6	Bridge	Freshman	12	Y	W2:Watermelon Man | CAT:Watermelon Man | ML:Watermelon Man
1A	62	Wave	216	Wave	Wave	Wave	17						Sophomore	14	Y	W1:Wave | ML:Wave
1A	63	Well You Needn't	313	Well You Needn't	Well, You Needn't	Well, You Needn’t	11						Junior	41	Y	W1:Well You Needn't | ML:Well You Needn't
1A	64	What Is This Thing Called Love?	8	What Is This Thing Called Love?	What Is This Thing Called Love	What Is This Thing Called Love?	23						Junior	19	Y	W1:What is This Thing Called Love? | ML:What Is This Thing Called Love
1A	65	Work Song	350	Work Song	Work Song									13	Y	ML:Work Song
1A	66	Yesterdays	9	Yesterdays	Yesterdays	Yesterdays	17						Junior	6	Y	W1:Yesterdays | ML:Yesterdays
1A	67	You Don't Know What Love Is	53	You Don't Know What Love Is	You Don't Know What Love Is	You Don’t Know What Love Is	14						Junior	14	Y	W1:You Don't Know What Love Is | ML:You Don't Know What Love Is
1A	68	You Stepped Out of a Dream	96	You Stepped Out of a Dream	You Stepped Out Of A Dream	You Stepped Out of a Dream	10						Junior	1	Y	W1:You Stepped Out of a Dream | ML:You Stepped Out Of A Dream
1A	69	All Blues	248	All Blues	All Blues	All Blues	12		18	12	6	Blues	Sophomore	18	Y	W1:All Blues | CAT:All Blues | ML:All Blues
1A	70	Au Privave	523	Au Privave	Au Privave			7	12	7	5	BebopBlues	Junior	5	Y	W2:Au Privave | CAT:Au Privave | ML:Au Privave
1A	71	Bags' Groove	343	Bags' Groove	Bag's Groove	Bags’ Groove		7	10	7	3	RiffBlues	Freshman	16	Y	W2:Bag's Groove | CAT:Bag's Groove | ML:Bags Groove
1A	72	Billie’s Bounce	112	Billie's Bounce	Billie's Bounce	Billie’s Bounce	17		25	17	8	BebopBlues	Sophomore	37	Y	W1:Billie's Bounce | CAT:Billie's Bounce | ML:Billie's Bounce
1A	73	Blue Monk	185	Blue Monk	Blue Monk	Blue Monk	11		18	11	7	RiffBlues	Freshman	19	Y	W1:Blue Monk | CAT:Blue Monk | ML:Blue Monk
1A	74	Blue Train			Blue Train				9	2	7	Blues		4	Y	CAT:Blue Trane | ML:Blue Train
1A	75	Blues For Alice			Blues For Alice		10		15	10	5	BebopBlues	Sophomore; Junior	5	Y	W1:Blues for Alice | CAT:Blues for Alice | ML:Blues For Alice
1A	76	Freddie Freeloader			Freddie Freeloader			8	7	3	4	Blues	Freshman	13	Y	W2:Freddie Freeloader | CAT:Freddie the Freeloader | ML:Freddie Freeloader
1A	77	Now's the Time	354	Now's the Time	Now's The Time	Now’s the Time	10		17	10	7	BebopBlues	Freshman	2	Y	W1:Now's the Time | CAT:Now's the Time | ML:Now's The Time
1A	78	Sandu			Sandu				5	2	3	Blues		8	Y	CAT:Sandu | ML:Sandu
1A	79	Sonnymoon For Two			Sonnymoon For Two			8	11	8	3	RiffBlues	Freshman	0		W2:Sonnymoon for Two | CAT:Sonnymoon for Two
