key	title	seat_d103	entry_no	watkins_band	watkins_list1	watkins_list2	watkins_cat_total	watkins_cat_survey	watkins_cat_additional	watkins_cat_cols	watkins_grade_years	miller_band	miller_calls	miller_rank
afroblue	Afro Blue	1A	1									Top 201	14	44
allofme	All of Me	1A	2	List 1 (11)	11						Freshman|Sophomore	Top 25	25	13
allthethingsyouare	All The Things You Are	1A	3	List 1 (29)	29						Sophomore	Top 201	14	44
alonetogether	Alone Together	1A	4	List 1 (23)	23						Sophomore|Junior	Top 201	1	207
autumnleaves	Autumn Leaves	1A	5	List 1 (28)	28						Freshman	Top 25	22	17
bluebossa	Blue Bossa	1A	6	List 1 (21)	21						Freshman|Sophomore	Top 10	32	9
byebyeblackbird	Bye Bye Blackbird	1A	7	List 1 (14)	14						Freshman|Sophomore	Top 201	16	37
bodyandsoul	Body and Soul	1A	8	List 1 (27)	27						Sophomore|Junior	Top 201	15	43
cantaloupeisland	Cantaloupe Island	1A	9	List 2 (7)		7					Freshman	Top 201	3	146
caravan	Caravan	1A	10	List 1 (10)	10						Sophomore|Junior	Top 10	45	2
cherokee	Cherokee	1A	11	List 1 (21)	21						Junior|Senior	Top 25	21	19
confirmation	Confirmation	1A	12	List 1 (16)	16						Junior|Senior	Top 201	1	207
corcovado	Corcovado	1A	13	List 1 (15)	15						Sophomore|Junior	Top 25	18	27
daysofwineandroses	Days of Wine and Roses	1A	14	List 1 (17)	17						Freshman	Top 201	11	63
donnalee	Donna Lee	1A	15	List 1 (14)	14						Senior	Top 201	6	94
doxy	Doxy	1A	16	List 1 (13)	13						Freshman	Top 201	17	30
four	Four	1A	17	List 1 (12)	12						Freshman	Top 25	21	19
haveyoumetmissjones	Have You Met Miss Jones	1A	18	List 1 (22)	22						Sophomore|Junior	Top 201	6	94
heresthatrainyday	Here's That Rainy Day	1A	19	List 1 (13)	13						Junior	Top 201	1	207
howhighthemoon	How High the Moon	1A	20	List 1 (14)	14						Sophomore	Top 201	10	67
iloveyou	I Love You	1A	21	List 1 (20)	20						Sophomore|Junior	Top 201		
impressions	Impressions	1A	22	List 1 (16)	16						Freshman	Top 201	2	163
inasentimentalmood	In a Sentimental Mood	1A	23	List 1 (22)	22						Sophomore|Junior	Top 201	4	124
invitation	Invitation	1A	24	List 1 (15)	15						Sophomore|Junior	Top 201	26	12
itcouldhappentoyou	It Could Happen to You	1A	25	List 1 (13)	13						Junior	Top 25	20	22
joyspring	Joy Spring	1A	26	List 1 (20)	20						Junior|Senior	Top 201	2	163
justfriends	Just Friends	1A	27	List 1 (21)	21						Junior	Top 201	8	79
likesomeoneinlove	Like Someone in Love	1A	28	List 1 (15)	15						Junior	Top 201	2	163
littlesunflower	Little Sunflower	1A	29	List 2 (8)		8					Freshman	Top 201	7	86
maidenvoyage	Maiden Voyage	1A	30	List 1 (13)	13						Freshman|Sophomore	Top 201	3	146
manhadecarnaval	Manha De Carnaval (AKA Morning Of The Carnival, The Theme From Black Orpheus, and A Day In The Life Of A Fool)	1A	31	List 1 (15)	15						Sophomore	Top 10	41	4
mercymercymercy	Mercy, Mercy, Mercy	1A	32									Top 201	5	110
milestones	Milestones (modal -	1A	33	List 2 (5)		5					Junior	Top 201	10	67
misty	Misty	1A	34	List 1 (16)	16						Sophomore	Top 201	10	67
momentsnotice	Moment's Notice	1A	35	List 1 (13)	13						Junior|Senior	Top 201		
myfavoritethings	My Favorite Things	1A	36	List 2 (5)		5					Junior	Top 201	5	110
myfunnyvalentine	My Funny Valentine	1A	37	List 1 (15)	15						Sophomore	Top 201	5	110
myromance	My Romance	1A	38	List 1 (12)	12						Freshman	Top 201		
nardis	Nardis	1A	39	List 2 (7)		7					Junior	Top 201	12	52
nightandday	Night and Day	1A	40	List 1 (16)	16						Junior	Top 201	7	86
nightintunisia	Night in Tunisia	1A	41	List 1 (14)	14						Junior	Top 10	44	3
ongreendolphinstreet	On Green Dolphin Street	1A	42	List 1 (26)	26						Sophomore	Top 10	33	8
ornithology	Ornithology	1A	43	List 1 (10)	10						Junior	Top 25	25	13
outofnowhere	Out of Nowhere	1A	44	List 1 (10)	10						Junior	Top 201	2	163
recordame	Recordame (AKA No Me Esqueca)	1A	45	List 1 (18)	18						Sophomore	Top 10	52	1
roundmidnight	'Round Midnight	1A	46	List 1 (17)	17						Junior|Senior	Top 201	4	124
satindoll	Satin Doll	1A	47	List 1 (17)	17						Freshman	Top 201	5	110
sowhat	So What	1A	48	List 1 (14)	14						Sophomore|Junior	Top 201	11	63
softlyasinamorningsunrise	Softly As in a Morning Sunrise	1A	49	List 1 (18)	18						Sophomore	Top 25	24	15
solar	Solar	1A	50	List 1 (14)	14						Sophomore|Junior	Top 25	18	27
somedaymyprincewillcome	Someday My Prince Will Come	1A	51	List 1 (19)	19						Sophomore	Top 201	12	52
songformyfather	Song For My Father	1A	52	List 1 (10)	10						Freshman	Top 201	13	48
saintthomas	St. Thomas	1A	53	List 1 (12)	12						Freshman	Top 10	29	11
stellabystarlight	Stella By Starlight	1A	54	List 1 (26)	26						Junior	Top 201	12	52
summertime	Summertime	1A	55	List 1 (16)	16						Freshman	Top 201	17	30
taketheatrain	"Take the ""A"" Train"	1A	56	List 1 (26)	26						Freshman	Top 25	21	19
girlfromipanema	The Girl From Ipanema	1A	57	List 1 (17)	17						Sophomore|Junior	Top 201	16	37
thereisnogreaterlove	There Is No Greater Love	1A	58	List 1 (18)	18						Sophomore	Top 201	17	30
therewillneverbeanotheryou	There Will Never Be Another You	1A	59	List 1 (26)	26						Sophomore	Top 10	31	10
tuneup	Tune Up	1A	60	List 1 (11)	11						Sophomore	Top 201	2	163
watermelonman	Watermelon Man	1A	61	List 2 (8)		8	14	8	6	Bridge	Freshman	Top 201	12	52
wave	Wave	1A	62	List 1 (17)	17						Sophomore	Top 201	14	44
wellyouneednt	Well You Needn't	1A	63	List 1 (11)	11						Junior	Top 10	41	4
