index	seat	title	block	warrant	rank	in_chapter	in_guide	mark	italic	bold	band	logged_calls	watkins_list1_count	watkins_list2_count	watkins_categorical	phase	style_group
1A	1	Afro Blue	main	1 ranking	772	Y					Logged	14				Foundational	LATIN: AFRO-CUBAN
1A	2	All of Me	main	1 ranking	71	Y	Y		Y		Reconciled	25	11			Foundational	STRAIGHT-AHEAD
1A	3	All The Things You Are	main	1 ranking	2	Y	Y		Y		Reconciled	14	29			Intermediate	STRAIGHT-AHEAD
1A	4	Alone Together	main	1 ranking	89	Y	Y		Y		Reconciled	1	23				STRAIGHT-AHEAD
1A	5	Autumn Leaves	main	1 ranking	11	Y	Y		Y		Reconciled	22	28			Foundational	STRAIGHT-AHEAD
1A	6	Blue Bossa	main	1 ranking	557	Y	Y				Reconciled	32	21			Emerging Intermediate	HARD BOP
1A	7	Body and Soul	main	1 ranking	1	Y	Y		Y		Reconciled	15	27				STRAIGHT-AHEAD
1A	8	Bye Bye Blackbird	main	1 ranking	126	Y	Y		Y		Reconciled	16	14				STRAIGHT-AHEAD
1A	9	Cantaloupe Island	main	2 chapter		Y	Y				Reconciled	3		7		Foundational	SOUL JAZZ / BOOGALOO
1A	10	Caravan	main	1 ranking	17	Y	Y		Y		Reconciled	45	10			Emerging Intermediate	SWING
1A	11	Cherokee	main	1 ranking	39	Y	Y		Y		Reconciled	21	21				STRAIGHT-AHEAD
1A	12	Confirmation	main	1 ranking	218	Y	Y				Reconciled	1	16			Intermediate	BEBOP
1A	13	Corcovado	main	1 ranking	382	Y	Y		Y		Reconciled	18	15				LATIN: BRAZILIAN
1A	14	Days of Wine and Roses	main	1 ranking	135	Y	Y		Y		Reconciled	11	17				STRAIGHT-AHEAD
1A	15	Donna Lee	main	1 ranking	194	Y	Y				Reconciled	6	14				BEBOP
1A	16	Doxy	main	1 ranking	691	Y					Reconciled	17	13			Emerging Intermediate	HARD BOP
1A	17	Four	main	1 ranking	537	Y					Reconciled	21	12			Intermediate	HARD BOP
1A	18	Have You Met Miss Jones	main	1 ranking	222	Y	Y		Y		Reconciled	6	22			Intermediate	STRAIGHT-AHEAD
1A	19	Here's That Rainy Day	main	1 ranking	100	Y	Y		Y		Reconciled	1	13				STRAIGHT-AHEAD
1A	20	How High the Moon	main	1 ranking	21	Y	Y		Y		Reconciled	10	14				STRAIGHT-AHEAD
1A	21	I Love You	main	1 ranking	119	Y	Y		Y		Distilled	0	20				STRAIGHT-AHEAD
