name_as_it_also_circulates	seated_as	seat	basis
Back Home Again In Indiana	Indiana	4 #37	FM.6
Black Orpheus	Manha De Carnaval	1A #31	FM.6
Blue Bolivar Blues	Bolivar Blues	3 #95	FM.6
Blue Trane	Blue Train	1A #74	FM.6
Body & Soul	Body and Soul	1A #7	FM.6
Burt Covers Bud	Bean and the Boys	3 #8	FM.6
Can't Help Lovin That Man	Can't Help Lovin' Dat Man	5C #9	FM.6
Can't Take That Away From Me	They Can't Take That Away from Me	5A #76	FM.6
Chega De Saudade	No More Blues	2 #50	FM.6
A Day In The Life Of A Fool	Manha De Carnaval	1A #31	FM.6
Dippermouth Blues	Sugar Foot Stomp	4 #79	FM.6
Do Nothing Till You Hear From Me	Do Nothin' Till You Hear from Me	5A #10	FM.6
Drinkin' And Drivin	' 502 Blues	3 #3	FM.6
Duke's Place	C Jam Blues	4 #14	FM.6
East Of The Sun And West Of The Moon	East of the Sun	5A #12	FM.6
Eternal Triangle	The Eternal Triangle	2 #116	FM.6
Fantasy In D	Ugetsu	3 #84	FM.6
Foggy Day	A Foggy Day	1B #1	FM.6
Freddie the Freeloader	Freddie Freeloader	1A #76	FM.6
Girl From Ipanema	The Girl From Ipanema	1A #57	FM.6
I Don't Stand	A Ghost of a Chance	5A #21	FM.6
I'll Be Glad When You're Dead	You Rascal You	4 #99	FM.6
In A Mellow Tone	In a Mellotone	4 #35	FM.6
Indian Love Song	Cherokee	1A #11	FM.6
Joe's Blues	Homestretch	3 #100	FM.6
Jumpin' At The Woodside	Jumpin' at the Woodside	4 #44	FM.6
Keeps Rainin' All the Time	Stormy Weather	5A #67	FM.6
Les Feuilles Mortes	Autumn Leaves	1A #5	FM.6
Morning Of The Carnival	Manha De Carnaval	1A #31	FM.6
My Favourite Things	My Favorite Things	1A #36	FM.6
My Secret Love	Secret Love	5A #59	FM.6
Night in Tunisia,	A Night in Tunisia	1A #41	FM.6
No Blues	Pfrancing	2 #104	FM.6
No Me Esqueca	Recordame	1A #45	FM.6
One And Four	Mr. Day	3 #106	FM.6
Our Love Is Here To Stay	Love Is Here to Stay	1B #32	FM.6
Quiet Nights of Quiet Stars	Corcovado	1A #13	FM.6
Samba De Orpheus	Samba De Orfeu	2 #61	FM.6
Senor Blues	Señor Blues	2 #109	FM.6
Shadow Of The Smile	The Shadow of Your Smile	1B #49	FM.6
Take 5	Take Five	1B #47	FM.6
The Theme From Black Orpheus	Manha De Carnaval	1A #31	FM.6
Tico No Fuba	Tico Tico	2 #76	FM.6
Unit 7	Unit Seven	2 #79	FM.6
Waltz for Debbie	Waltz for Debby	2 #82	FM.6
What A Difference A Day Makes	What a Difference a Day Made	5B #68	FM.6
Where Angels Fear to Tread	Fools Rush in	5B #19	FM.6
Budo	Hallucinations	3 #38	FM.6
Corner Pocket	Until I Met You	4 #86	FM.6
Dr. Jekyll	Dr. Jackle	3 #99	FM.6
Rifftide	Hackensack	2 #27	FM.6
Wee	Allen's Alley	3 #128	FM.6
Afternoon In Paris	Afternoon in Paris	2 #3	variant
and West of the Moon	East of the Sun	5A #12	variant
Autumn Leaves (Les Feuilles Mortes)	Autumn Leaves	1A #5	variant
Back Home Again In Indiana	Indiana	4 #37	variant
Bean And The Boys (AKA Burt Covers Bud)	Bean and the Boys	3 #8	variant
Bessie's Blues	Bessie's Blues	2 #93	variant
Blues Walk, The	The Blues Walk	1A #82	variant
But Don't Tease Me	Just Squeeze Me	4 #45	variant
Can't Help Lovin That Man	Can’t Help Lovin’ Dat Man	5C #9	variant
Cherokee (Indian Love Song)	Cherokee	1A #11	variant
Corcovado (Quiet Nights of Quiet Stars)	Corcovado	1A #13	variant
Darn That Dream	Darn That Dream	5A #9	variant
