page	order	form_group	title	entry_no	miller_calls	watkins_list1	watkins_list2	js_rank
1A	1	STANDARDS	Recordame (AKA No Me Esqueca)	45	52	18		
1A	2	STANDARDS	Caravan	10	45	10		17
1A	3	STANDARDS	Night in Tunisia	41	44	14		40
1A	4	STANDARDS	Manha De Carnaval (AKA Morning Of The Carnival, The Theme From Black Orpheus, and A Day In The Life Of A Fool)	31	41	15		
1A	5	STANDARDS	Well You Needn't	63	41	11		313
1A	6	STANDARDS	On Green Dolphin Street	42	33	26		25
1A	7	STANDARDS	Blue Bossa	6	32	21		557
1A	8	STANDARDS	There Will Never Be Another You	59	31	26		43
1A	9	STANDARDS	St. Thomas	53	29	12		371
1A	10	STANDARDS	Invitation	24	26	15		252
1A	11	STANDARDS	All of Me	2	25	11		71
1A	12	STANDARDS	Ornithology	43	25	10		462
1A	13	STANDARDS	Softly As in a Morning Sunrise	49	24	18		132
1A	14	STANDARDS	Autumn Leaves	5	22	28		11
1A	15	STANDARDS	"Take the ""A"" Train"	56	21	26		23
1A	16	STANDARDS	Cherokee	11	21	21		39
1A	17	STANDARDS	Four	17	21	12		537
1A	18	STANDARDS	It Could Happen to You	25	20	13		60
1A	19	STANDARDS	What Is This Thing Called Love?	64	19	23		8
1A	20	STANDARDS	Corcovado	13	18	15		382
1A	21	STANDARDS	Solar	50	18	14		402
1A	22	STANDARDS	There Is No Greater Love	58	17	18		52
1A	23	STANDARDS	Summertime	55	17	16		3
1A	24	STANDARDS	Doxy	16	17	13		691
1A	25	STANDARDS	The Girl From Ipanema	57	16	17		479
1A	26	STANDARDS	Bye Bye Blackbird	7	16	14		126
1A	27	STANDARDS	Body and Soul	8	15	27		1
1A	28	STANDARDS	All The Things You Are	3	14	29		2
1A	29	STANDARDS	Wave	62	14	17		216
1A	30	STANDARDS	You Don't Know What Love Is	67	14	14		53
1A	31	STANDARDS	Afro Blue	1	14			772
1A	32	STANDARDS	Song For My Father	52	13	10		
1A	33	STANDARDS	Work Song	65	13			350
1A	34	STANDARDS	Stella By Starlight	54	12	26		10
1A	35	STANDARDS	Someday My Prince Will Come	51	12	19		240
1A	36	STANDARDS	Watermelon Man	61	12		8	609
1A	37	STANDARDS	Nardis	39	12		7	633
1A	38	STANDARDS	Days of Wine and Roses	14	11	17		135
1A	39	STANDARDS	So What	48	11	14		435
1A	40	STANDARDS	Misty	34	10	16		56
1A	41	STANDARDS	How High the Moon	20	10	14		21
1A	42	STANDARDS	Milestones (modal -	33	10		5	287
1A	43	STANDARDS	Just Friends	27	8	21		85
1A	44	STANDARDS	Night and Day	40	7	16		33
1A	45	STANDARDS	Little Sunflower	29	7		8	
1A	46	STANDARDS	Have You Met Miss Jones	18	6	22		222
1A	47	STANDARDS	Yesterdays	66	6	17		9
1A	48	STANDARDS	Donna Lee	15	6	14		194
1A	49	STANDARDS	Satin Doll	47	5	17		45
1A	50	STANDARDS	My Funny Valentine	37	5	15		6
1A	51	STANDARDS	My Favorite Things	36	5		5	333
1A	52	STANDARDS	Mercy, Mercy, Mercy	32	5			
1A	53	STANDARDS	In a Sentimental Mood	23	4	22		19
1A	54	STANDARDS	'Round Midnight	46	4	17		4
1A	55	STANDARDS	Maiden Voyage	30	3	13		952
1A	56	STANDARDS	Cantaloupe Island	9	3		7	
1A	57	STANDARDS	Joy Spring	26	2	20		511
1A	58	STANDARDS	Impressions	22	2	16		771
1A	59	STANDARDS	Like Someone in Love	28	2	15		147
1A	60	STANDARDS	Tune Up	60	2	11		652
1A	61	STANDARDS	Out of Nowhere	44	2	10		68
1A	62	STANDARDS	Alone Together	4	1	23		89
1A	63	STANDARDS	Confirmation	12	1	16		218
1A	64	STANDARDS	Here's That Rainy Day	19	1	13		100
1A	65	STANDARDS	You Stepped Out of a Dream	68	1	10		96
1A	66	STANDARDS	I Love You	21		20		119
1A	67	STANDARDS	Moment's Notice	35		13		576
1A	68	STANDARDS	My Romance	38		12		91
1A	69	BLUES	Billie’s Bounce	72	37	17		112
1A	70	BLUES	Blue Monk	74	19	11		185
1A	71	BLUES	All Blues	69	18	12		248
1A	72	BLUES	Bags' Groove	71	16		7	343
1A	73	BLUES	Freddie Freeloader	75	13		8	
1A	74	BLUES	Tenor Madness	80	12		9	
1A	75	BLUES	Sandu	77	8			
1A	76	BLUES	Straight No Chaser	79	7	13		163
1A	77	BLUES	Blues For Alice	73	5	10		
1A	78	BLUES	Au Privave	70	5		7	523
1A	79	BLUES	Now's the Time	76	2	10		354
1A	80	BLUES	Walkin'	83	1		5	341
1A	81	BLUES	Things Ain't What They Used to Be	82			5	92
1A	82	BLUES	Sonnymoon For Two	78			8	
1A	83	BLUES	The Blues Walk	81				
1A	84	MINOR BLUES	Mr. P.C.	87	22	10		
1A	85	MINOR BLUES	Footprints	86	16	15		618
1A	86	MINOR BLUES	Equinox	85	12		5	903
1A	87	MINOR BLUES	Blue Trane	84	4			
1A	88	RHYTHM CHANGES	Anthropology	88	10	11		483
