index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated	ballad
4	1	After You've Gone	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	3	Air Mail Special	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	4	All Too Soon	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	5	At the Jazz Band Ball	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans					
4	6	Avalon	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	7	Azure	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	8	Baby Won't You Please Come Home	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	10	Black and Tan Fantasy	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans		minor blues	blues-based		
4	11	Blue and Sentimental	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	13	Bugle Call Rag	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	15	Chelsea Bridge	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	16	China Boy	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	17	Crazy Rhythm	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	18	Dinah	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	19	Doggin' Around	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	21	Don't You Know I Care	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	22	Every Tub	set-builder reading; not classified in the volume	Jazz composition	Swing		rhythm changes			
4	24	Fidgety Feet	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans					
4	25	Flying Home	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	26	Four Brothers	set-builder reading; not classified in the volume	Jazz composition	Cool / West Coast					
4	27	Hallelujah	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	29	I Can't Believe That You're in Love with Me	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	30	I Know That You Know	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	31	I Want to Be Happy	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	32	If I Could Be with You	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	33	I'm Confessin' That I Love You	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	34	I'm Gonna Sit Right Down and Write Myself a Letter	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	36	In the Mood	set-builder reading; not classified in the volume	Jazz composition	Swing		twelve-bar blues	blues-based		
4	39	I've Found a New Baby	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	40	Jazz Me Blues	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans					
4	41	Jeep Is Jumpin'	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	42	Jitterbug Waltz	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans	jazz waltz				
4	43	Johnny Come Lately	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	45	Just Squeeze Me	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	46	Just You, Just Me	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	47	King Porter Stomp	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	48	Lazy River	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	50	Li'l Darlin'	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	52	Liza	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	54	Moten Swing	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	55	Muskrat Ramble	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans	2nd line				
4	56	My Blue Heaven	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	57	My Little Brown Book	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	59	One O'Clock Jump	set-builder reading; not classified in the volume	Jazz composition	Swing		twelve-bar blues	blues-based		
4	60	Panama	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans	march				
4	62	Raincheck	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	64	Robbin's Nest	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	65	Rockin' in Rhythm	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	66	Rose Room	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	69	Shiny Stockings	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	70	Soft Winds	set-builder reading; not classified in the volume	Jazz composition	Swing		twelve-bar blues	blues-based		
4	71	Sometimes I'm Happy	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	72	Squeeze Me	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans					
4	73	St. James Infirmary	set-builder reading; not classified in the volume	Traditional	Early jazz / New Orleans					
4	75	Star Crossed Lovers	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	78	Struttin' with Some Barbecue	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans					
4	79	Sugar Foot Stomp	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans		twelve-bar blues	blues-based		
4	81	That's a Plenty	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans	2nd line				
4	83	Three Little Words	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	84	Tin Roof Blues	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans		twelve-bar blues	blues-based		
4	85	Undecided	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	86	Until I Met You	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	87	Warm Valley	set-builder reading; not classified in the volume	Jazz composition	Swing					Y
4	88	Way Down Yonder in New Orleans	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	89	Weary Blues	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans	2nd line				
4	90	West End Blues	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans		twelve-bar blues	blues-based		
4	91	What Am I Here For	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	92	When It's Sleepy Time Down South	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					Y
4	94	When You're Smiling	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
4	95	Whispering	set-builder reading; not classified in the volume	Songbook	Straight-ahead					
4	96	Wild Man Blues	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans					
4	97	Wolverine Blues	set-builder reading; not classified in the volume	Jazz composition	Early jazz / New Orleans					
4	98	You Can Depend on Me	set-builder reading; not classified in the volume	Jazz composition	Swing					
4	99	You Rascal You	set-builder reading; not classified in the volume	Songbook	Early jazz / New Orleans					
