index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated
1A	1	Afro Blue	classified; prints on the style page	Latin American composition	Latin jazz - Afro-Cuban	Afro 6/8		modal or vamp	
1A	2	All of Me	classified; prints on the style page	Songbook	Straight-ahead				
1A	3	All The Things You Are	classified; prints on the style page	Songbook	Straight-ahead				
1A	4	Alone Together	classified; prints on the style page	Songbook	Straight-ahead				
1A	5	Autumn Leaves	classified; prints on the style page	Imported song	Straight-ahead				
1A	6	Blue Bossa	classified; prints on the style page	Jazz composition	Hard bop	bossa nova			yes
1A	7	Body and Soul	classified; prints on the style page	Songbook	Straight-ahead				
1A	8	Bye Bye Blackbird	classified; prints on the style page	Songbook	Straight-ahead				
1A	9	Cantaloupe Island	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	boogaloo		modal or vamp	
1A	10	Caravan	classified; prints on the style page	Jazz composition	Swing	Afro-Cuban			yes
1A	11	Cherokee	classified; prints on the style page	Imported song	Straight-ahead				
1A	12	Confirmation	classified; prints on the style page	Jazz composition	Bebop				
1A	13	Corcovado	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	bossa nova			
1A	14	Days of Wine and Roses	classified; prints on the style page	Songbook	Straight-ahead				
1A	15	Donna Lee	classified; prints on the style page	Jazz composition	Bebop				
1A	16	Doxy	classified; prints on the style page	Jazz composition	Hard bop				
1A	17	Four	classified; prints on the style page	Jazz composition	Hard bop				
1A	18	Have You Met Miss Jones	classified; prints on the style page	Songbook	Straight-ahead				
1A	19	Here's That Rainy Day	classified; prints on the style page	Songbook	Straight-ahead				
1A	20	How High the Moon	classified; prints on the style page	Songbook	Straight-ahead				
1A	21	I Love You	classified; prints on the style page	Songbook	Straight-ahead				
1A	22	Impressions	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
1A	23	In a Sentimental Mood	classified; prints on the style page	Jazz composition	Swing				
1A	24	Invitation	classified; prints on the style page	Songbook	Straight-ahead				
1A	25	It Could Happen to You	classified; prints on the style page	Songbook	Straight-ahead				
1A	26	Joy Spring	classified; prints on the style page	Jazz composition	Hard bop				
1A	27	Just Friends	classified; prints on the style page	Songbook	Straight-ahead				
1A	28	Like Someone in Love	classified; prints on the style page	Songbook	Straight-ahead				
1A	29	Little Sunflower	classified; prints on the style page	Jazz composition	Modal	bossa nova		modal or vamp	yes
1A	30	Maiden Voyage	classified; prints on the style page	Jazz composition	Modal	even eighths		modal or vamp	
1A	31	Manha De Carnaval	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	samba-cancao			
1A	32	Mercy, Mercy, Mercy	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	gospel			
1A	33	Milestones (modal)	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
1A	34	Misty	classified; prints on the style page	Jazz composition	Mainstream				
1A	35	Moment's Notice	classified; prints on the style page	Jazz composition	Hard bop				
1A	36	My Favorite Things	classified; prints on the style page	Songbook	Straight-ahead	jazz waltz			
1A	37	My Funny Valentine	classified; prints on the style page	Songbook	Straight-ahead				
1A	38	My Romance	classified; prints on the style page	Songbook	Straight-ahead				
1A	39	Nardis	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
1A	40	Night and Day	classified; prints on the style page	Songbook	Straight-ahead				
1A	41	Night in Tunisia	classified; prints on the style page	Jazz composition	Bebop	Afro-Cuban			yes
1A	42	On Green Dolphin Street	classified; prints on the style page	Songbook	Straight-ahead	Afro-Cuban			yes
1A	43	Ornithology	classified; prints on the style page	Jazz composition	Bebop				
1A	44	Out of Nowhere	classified; prints on the style page	Songbook	Straight-ahead				
1A	45	Recordame	classified; prints on the style page	Jazz composition	Hard bop	bossa nova			yes
1A	46	'Round Midnight	classified; prints on the style page	Jazz composition	Bebop				
1A	47	Satin Doll	classified; prints on the style page	Jazz composition	Swing				
1A	48	So What	classified; prints on the style page	Jazz composition	Modal			modal or vamp	
1A	49	Softly As in a Morning Sunrise	classified; prints on the style page	Songbook	Straight-ahead	Afro-Cuban			yes
1A	50	Solar	classified; prints on the style page	Jazz composition	Hard bop				
1A	51	Someday My Prince Will Come	classified; prints on the style page	Songbook	Straight-ahead	jazz waltz			
1A	52	Song For My Father	classified; prints on the style page	Jazz composition	Hard bop	bossa nova			yes
1A	53	St. Thomas	classified; prints on the style page	Jazz composition	Hard bop	calypso			yes
1A	54	Stella By Starlight	classified; prints on the style page	Songbook	Straight-ahead				
1A	55	Summertime	classified; prints on the style page	Songbook	Straight-ahead				
1A	56	"Take the ""A"" Train"	classified; prints on the style page	Jazz composition	Swing				
1A	57	The Girl From Ipanema	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	bossa nova			
1A	58	There Is No Greater Love	classified; prints on the style page	Songbook	Straight-ahead				
1A	59	There Will Never Be Another You	classified; prints on the style page	Songbook	Straight-ahead				
1A	60	Tune Up	classified; prints on the style page	Jazz composition	Bebop				
1A	61	Watermelon Man	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	boogaloo		modal or vamp	
1A	62	Wave	classified; prints on the style page	Latin American composition	Latin jazz - Brazilian	bossa nova			
1A	63	Well You Needn't	classified; prints on the style page	Jazz composition	Bebop				
1A	64	What Is This Thing Called Love?	classified; prints on the style page	Songbook	Straight-ahead				
1A	65	Work Song	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	stop-time			
1A	66	Yesterdays	classified; prints on the style page	Songbook	Straight-ahead				
1A	67	You Don't Know What Love Is	classified; prints on the style page	Songbook	Straight-ahead				
1A	68	You Stepped Out of a Dream	classified; prints on the style page	Songbook	Straight-ahead				
1A	69	All Blues	classified; form block, counted at § VI.5.f	Jazz composition	Modal	jazz waltz	twelve-bar blues	modal or vamp	
