higher_tier	lower_tier	js_rank_pct	js_rank_pairs	miller_calls_pct	miller_pairs	miller_tie_pct	watkins_pct	watkins_pairs	watkins_tie_pct	higher_rank_coverage	lower_rank_coverage
1A	1B	47.6	3871	22.9	4929	6	24.0	4929	4	79/93	49/53
1A	2	22.1	5293	12.7	10788	7	8.3	10788	9	79/93	67/116
1A	3	8.1	1817	6.9	13113	7	4.9	13113	10	79/93	23/141
1B	2	23.1	3283	30.9	6148	20	9.9	6148	7	49/53	67/116
1B	3	10.0	1127	19.6	7473	24	2.9	7473	6	49/53	23/141
2	3	24.3	1541	37.5	16356	54	39.9	16356	79	67/116	23/141
1A	4	35.7	7505	6.0	9207	7	6.6	9207	9	79/93	95/99
2	4	67.5	6365	36.5	11484	55	43.5	11484	74	67/116	95/99
3	4	84.8	2185	49.5	13959	76	53.2	13959	92	23/141	95/99
1A	5A	56.0	6320	9.8	7440	7	8.4	7440	8	79/93	80/80
1A	5B	34.3	6162	5.3	7254	7	5.3	7254	9	79/93	78/78
1A	5C	25.3	5214	6.7	6417	7	4.8	6417	10	79/93	66/69
