division	seat	title	in_ranking	in_chapter	in_guide	source_count	rank	source_count_band	rank_over_800_drop	screening_drop	band_after_drops	printed_band	delta
5A	1	Almost Like Being in Love	Y	Y	Y	3	265	5A			5A	5A	none
5A	2	April in Paris	Y	Y	Y	3	130	5A			5A	5A	none
5A	3	Autumn in New York	Y	Y	Y	3	121	5A			5A	5A	none
5A	4	Blue Moon	Y	Y	Y	3	94	5A			5A	5A	none
5A	5	Blue Skies	Y	Y	Y	3	129	5A			5A	5A	none
5A	6	Centerpiece	Y	N	N	1	790	5C			5C	5A	compiler seat above its source-count band
5A	7	Close Your Eyes	Y	Y	N	2	298	5B			5B	5A	compiler seat above its source-count band
5A	8	Come Sunday	Y	Y	Y	3	151	5A			5A	5A	none
5A	9	Darn That Dream	Y	Y	Y	3	70	5A			5A	5A	none
5A	10	Do Nothin' Till You Hear from Me	Y	Y	Y	3	93	5A			5A	5A	none
5A	11	Don't Blame Me	Y	Y	Y	3	38	5A			5A	5A	none
5A	12	East of the Sun	Y	Y	Y	3	125	5A			5A	5A	none
5A	13	Easy Living	Y	Y	Y	3	80	5A			5A	5A	none
5A	14	Easy to Love	Y	Y	Y	3	122	5A			5A	5A	none
5A	15	Emily	Y	Y	Y	3	506	5A			5A	5A	none
5A	16	Everything Happens to Me	Y	Y	Y	3	102	5A			5A	5A	none
5A	17	Ev’ry Time We Say Goodbye	Y	Y	Y	3	220	5A			5A	5A	none
5A	18	Falling in Love with Love	Y	Y	Y	3	289	5A			5A	5A	none
5A	19	Fly Me to the Moon	Y	Y	Y	3	352	5A			5A	5A	none
5A	20	Gee Baby Ain't I Good to You	Y	Y	Y	3	150	5A			5A	5A	none
5A	21	Ghost of a Chance	Y	Y	Y	3	66	5A			5A	5A	none
5A	22	God Bless the Child	Y	Y	Y	3	170	5A			5A	5A	none
5A	23	Good Morning Heartache	Y	Y	Y	3	316	5A			5A	5A	none
5A	24	How Long Has This Been Going On?	Y	Y	Y	3	213	5A			5A	5A	none
5A	25	I Can't Give You Anything but Love	Y	Y	Y	3	162	5A			5A	5A	none
5A	26	I Cover the Waterfront	Y	Y	Y	3	50	5A			5A	5A	none
5A	27	I Didn't Know What Time It Was	Y	Y	Y	3	82	5A			5A	5A	none
5A	28	I Fall in Love Too Easily	Y	Y	Y	3	300	5A			5A	5A	none
5A	29	I Got It Bad (and That Ain't Good)	Y	Y	Y	3	61	5A			5A	5A	none
5A	30	I Let a Song Go Out of My Heart	Y	Y	Y	3	152	5A			5A	5A	none
5A	31	I Only Have Eyes for You	Y	Y	Y	3	191	5A			5A	5A	none
5A	32	I Should Care	Y	Y	Y	3	47	5A			5A	5A	none
5A	33	I Surrender Dear	Y	Y	Y	3	95	5A			5A	5A	none
5A	34	I Thought About You	Y	Y	Y	3	108	5A			5A	5A	none
5A	35	If I Should Lose You	Y	Y	Y	3	179	5A			5A	5A	none
5A	36	If You Could See Me Now	Y	Y	Y	3	127	5A			5A	5A	none
5A	37	I'm in the Mood for Love	Y	Y	Y	3	195	5A			5A	5A	none
5A	38	It Had to Be You	Y	Y	Y	3	361	5A			5A	5A	none
5A	39	It Might As Well Be Spring	Y	Y	Y	3	114	5A			5A	5A	none
5A	40	It Never Entered My Mind	Y	Y	Y	3	181	5A			5A	5A	none
5A	41	Just One of Those Things	Y	Y	Y	3	74	5A			5A	5A	none
5A	42	Lover Come Back to Me	Y	Y	Y	3	69	5A			5A	5A	none
5A	43	Lover Man	Y	Y	Y	3	7	5A			5A	5A	none
5A	44	Mack the Knife	Y	Y	Y	3	110	5A			5A	5A	none
5A	45	Mean to Me	Y	Y	Y	3	75	5A			5A	5A	none
5A	46	Memories of You	Y	Y	Y	3	83	5A			5A	5A	none
