index	seat	title	first_instrumental	lyricist	notable_vocals	note
1A	1	Afro Blue	1959, Mongo Santamaria	Oscar Brown Jr.	Abbey Lincoln (Abbey Is Blue); Oscar Brown Jr. (Sin & Soul); Dee Dee Bridgewater; Dianne Reeves	lyric added almost immediately
1A	9	Cantaloupe Island	1962, Herbie Hancock	added later	Mark Murphy	
1A	10	Caravan	1936, Tizol and Ellington	Irving Mills	Ella Fitzgerald with Ellington	published with a lyric; best known as an instrumental
1A	17	Four	1954, Miles Davis	added later	Lambert, Hendricks & Ross	
1A	23	In a Sentimental Mood	1935, Ellington	Manny Kurtz, with Irving Mills credit	Ella Fitzgerald; widely sung in the songbook repertoire	
1A	26	Joy Spring	Clifford Brown	Jon Hendricks	The Manhattan Transfer; Jon Hendricks	often titled Sing Joy Spring
1A	29	Little Sunflower	late 1960s, Freddie Hubbard	added later	Al Jarreau with Hubbard (The Love Connection, 1979)	
1A	30	Maiden Voyage	Herbie Hancock	added later	Kimiko Kasai with Hancock (Butterfly, 1979)	
1A	34	Misty	1954, Erroll Garner	Johnny Burke	Johnny Mathis; Ella Fitzgerald; Sarah Vaughan	became a major vocal standard
1A	41	Night in Tunisia	1942, Gillespie; widely recorded 1944	Jon Hendricks; an earlier set as Interlude	Sarah Vaughan (1944, as Interlude); Lambert, Hendricks & Ross; Ella Fitzgerald	Hendricks later wrote Another Night in Tunisia for The Manhattan Transfer
1A	46	'Round Midnight	1944, Cootie Williams recording	Bernie Hanighen; a later set by Jon Hendricks	Jackie Paris; Ella Fitzgerald; Sarah Vaughan; Carmen McRae	McRae used both lyric sets
1A	47	Satin Doll	1953, Ellington and Strayhorn	Johnny Mercer	Ella Fitzgerald	lyric added after the tune was circulating
1A	56	"Take the ""A"" Train"	1939 composition, 1941 Ellington recording	Joya Sherrill and others	Ray Nance with Ellington; Ella Fitzgerald	
1A	61	Watermelon Man	1962, Herbie Hancock	Gloria Lynne, 1965	Gloria Lynne	the Santamaria hit stayed instrumental
1A	63	Well You Needn't	1940s, Monk	Mike Ferro	Carmen McRae (Carmen Sings Monk)	sometimes performed as It's Over Now
1A	65	Work Song	1960, Nat Adderley	Oscar Brown Jr.	Oscar Brown Jr. (Sin & Soul); Nina Simone	
1B	2	Airegin	1954, Sonny Rollins, first recorded with Miles Davis	Jon Hendricks	Lambert, Hendricks & Ross; The Manhattan Transfer (Vocalese, with Hendricks)	
1B	7	Bluesette	1962, Toots Thielemans, harmonica and whistle	Norman Gimbel	Sarah Vaughan; Ella Fitzgerald; Anita O'Day; Vikki Carr	English lyric added soon after
1B	14	Don't Get Around Much Anymore	1940, Ellington, as Never No Lament, a Hodges feature	Bob Russell, 1942	The Ink Spots (the hit); Glen Gray; Ella Fitzgerald	
1B	27	In Your Own Sweet Way	Brubeck; widely heard from the Miles Davis 1956 recording	Iola Brubeck	Carmen McRae with Brubeck	
1B	33	Lullaby of Birdland	1952, George Shearing, a theme for the club	George David Weiss, as B. Y. Forster	Sarah Vaughan (1954, with Clifford Brown); Ella Fitzgerald	
1B	36	Moanin'	1958, Bobby Timmons with the Jazz Messengers	Jon Hendricks	Lambert, Hendricks & Ross	lyric added within a year
