institution	section	status	title_as_printed	normalized	marker
Alabama	UG sem 1-8	listed	After You've Gone	after youve gone	
Alabama	UG sem 1-8	listed	Ain't Misbehavin'	aint misbehavin	
Alabama	UG sem 1-8	listed	All Blues	all blues	
Alabama	UG sem 1-8	listed	All of Me	all of me	
Alabama	UG sem 1-8	listed	All of You	all of you	
Alabama	UG sem 1-8	listed	All the Things You Are	all the things you are	
Alabama	UG sem 1-8	listed	Alone Together	alone together	
Alabama	UG sem 1-8	listed	Almost Like Being in Love	almost like being in love	
Alabama	UG sem 1-8	listed	Autumn in New York	autumn in new york	
Alabama	UG sem 1-8	listed	Autumn Leaves	autumn leaves	
Alabama	UG sem 1-8	listed	Beautiful Love	beautiful love	
Alabama	UG sem 1-8	listed	Bewitched	bewitched	
Alabama	UG sem 1-8	listed	Black Orpheus	black orpheus	
Alabama	UG sem 1-8	listed	Blue Bossa	blue bossa	
Alabama	UG sem 1-8	listed	Body and Soul	body and soul	
Alabama	UG sem 1-8	listed	But Beautiful	but beautiful	
Alabama	UG sem 1-8	listed	But Not For Me	but not for me	
Alabama	UG sem 1-8	listed	Bye Bye Blackbird	bye bye blackbird	
Alabama	UG sem 1-8	listed	Caravan	caravan	
Alabama	UG sem 1-8	listed	Cherokee	cherokee	
Alabama	UG sem 1-8	listed	Come Rain or Come Shine	come rain or come shine	
Alabama	UG sem 1-8	listed	Come Fly with Me	come fly with me	
Alabama	UG sem 1-8	listed	Corcovado	corcovado	
Alabama	UG sem 1-8	listed	Darn that Dream	darn that dream	
Alabama	UG sem 1-8	listed	Days of Wine and Roses	days of wine and roses	
Alabama	UG sem 1-8	listed	Day In, Day Out	day in day out	
Alabama	UG sem 1-8	listed	Deed I Do	deed i do	
Alabama	UG sem 1-8	listed	Doxy	doxy	
Alabama	UG sem 1-8	listed	Easy Living	easy living	
Alabama	UG sem 1-8	listed	Embraceable You	embraceable you	
Alabama	UG sem 1-8	listed	Fine and Dandy	fine and dandy	
Alabama	UG sem 1-8	listed	Fine Romance	fine romance	
Alabama	UG sem 1-8	listed	Foggy Day	foggy day	
Alabama	UG sem 1-8	listed	Four	four	
Alabama	UG sem 1-8	listed	Gentle Rain	gentle rain	
Alabama	UG sem 1-8	listed	Georgia	georgia	
Alabama	UG sem 1-8	listed	Girl from Ipanema	girl from ipanema	
Alabama	UG sem 1-8	listed	Have You Met Miss Jones	have you met miss jones	
Alabama	UG sem 1-8	listed	Here's That Rainy Day	heres that rainy day	
Alabama	UG sem 1-8	listed	Honeysuckle Rose	honeysuckle rose	
