match_key	k_programs	programs	printed_forms	seat	seated_as
262	2	San Diego State; William Paterson	26-2	3 #1	26-2
500mileshigh	3	San Diego State; Utah; William Paterson	500 MILES HIGH | 500 Miles High | Five Hundred Miles High	3 #2	500 Miles High
afroblue	3	Cal State Long Beach; Utah Valley; William Paterson	Afro Blue | Afro blue	1A #1	Afro Blue
afternooninparis	4	Cal State Long Beach; Marshall; Oregon; William Paterson	Afternoon In Paris | Afternoon in Paris	2 #3	Afternoon in Paris
afteryouvegone	4	Alabama; Cal State Long Beach; Oregon; Utah	AFTER YOU'VE GONE | After You've Gone	4 #1	After You've Gone
aintmisbehavin	1	Alabama	Ain't Misbehavin'	4 #2	Ain't Misbehavin'
airegin	4	Cal State Long Beach; Central Florida; Utah; William Paterson	AIREGIN | Airegin	1B #2	Airegin
aliceinwonderland	2	Oregon; Utah	ALICE IN WONDERLAND | Alice In Wonderland	2 #4	Alice In Wonderland
allblues	10	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson	ALL BLUES | All Blues	1A #69	All Blues
allofme	6	Alabama; Iowa; Marshall; Oregon; Utah; William Paterson	ALL OF ME | All of Me	1A #2	All of Me
allofyou	5	Alabama; Iowa; Marshall; Utah; William Paterson	ALL OF YOU | All of You	1B #3	All of You
allthethingsyouare	12	Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	ALL THE THINGS YOU ARE | All The Things You Are | All the Things You Are	1A #3	All The Things You Are
almostlikebeinginlove	1	Alabama	Almost Like Being in Love	5A #1	Almost Like Being in Love
alonetogether	11	Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	ALONE TOGETHER | Alone Together	1A #4	Alone Together
alongcamebetty	6	Cal State Long Beach; Iowa; Sonoma State; Utah; Western Michigan; William Paterson	ALONG CAME BETTY | Along Came Betty	2 #5	Along Came Betty
anamaria	1	San Diego State	Ana Maria	3 #5	Ana Maria
angeleyes	2	Cal State Long Beach; William Paterson	Angel Eyes	1B #4	Angel Eyes
anthropology	7	Cal State Long Beach; Central Florida; Marshall; Oregon; Sonoma State; Utah; William Paterson	ANTHROPOLOGY | Anthropology	1A #88	Anthropology
aprilinparis	1	William Paterson	April in Paris	5A #2	April in Paris
apriljoy	1	William Paterson	April Joy		
areyoureal	1	William Paterson	Are You Real?	3 #6	Are You Real?
askmenow	1	Utah	ASK ME NOW	3 #7	Ask Me Now
astimegoesby	1	William Paterson	As Time Goes By	5B #5	As Time Goes By
auprivave	7	Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Utah; Utah Valley; William Paterson	AU PRIVAVE | Au Privave	1A #70	Au Privave
