entry	title_as_printed	seat	seated_as	declined_at
1	26-2	3 #1	26-2	
2	502 Blues	3 #3	502 Blues	
3	Adam's Apple	2 #2	Adam's Apple	
4	Afro-Centric	3 #4	Afro-Centric	
5	After The Rain			App. B
6	Ah-Leu-Cha	3 #127	Ah-Leu-Cha	
7	Aisha			App. B
8	Alice In Wonderland	2 #4	Alice In Wonderland	
9	Along Came Betty	2 #5	Along Came Betty	
10	Ambrosia			App. B
11	Ana Maria	3 #5	Ana Maria	
12	Angola			App. B
13	Apex			App. B
14	Are You Real?	3 #6	Are You Real?	
15	Arietis			App. B
16	Autumn Nocturne			App. B
17	Autumn Serenade			App. B
18	Backstage Sally			App. B
19	Ba-lue Bolivar Ba-lues-are (AKA Bolivar Blues)	3 #95	Bolivar Blues	
20	Barbara			App. B
21	Barracudas			App. B
22	Bass Blues	3 #90	Bass Blues	
23	Bean And The Boys (AKA Burt Covers Bud)	3 #8	Bean and the Boys	
24	Beatrice	1B #5	Beatrice	
25	A Beautiful Friendship			App. B
26	Bessie's Blues	2 #93	Bessie's Blues	
27	Beyond All Limits			App. B
28	Big Nick			App. B
29	The Big Push			App. B
30	Bill			App. B
31	Billy Boy			App. B
32	Birdlike	2 #94	Birdlike	
33	Bittersweet			App. B
34	Black Narcissus	3 #9	Black Narcissus	
35	Black Nile	3 #10	Black Nile	
36	The Blessing	3 #74	The Blessing	
37	Bluebird	3 #93	Bluebird	
38	Blue Daniel			App. B
39	Blues By Five			App. B
40	Bluesette	1B #7	Bluesette	
41	Blue Seven	2 #96	Blue Seven	
42	Blues For Alice	1A #75	Blues For Alice	
43	Blues For Wood	3 #118	Blues For Wood	
44	Blue Silver			App. B
45	Blues March	2 #10	Blues March	
46	Blues Minor	3 #119	Blues Minor	
47	Blues On The Corner	2 #97	Blues On The Corner	
48	Blue Spirits			App. B
49	The Blues Walk	1A #82	The Blues Walk	
50	Blue Train	1A #74	Blue Train	
51	Bolivia	2 #12	Bolivia	
52	Book's Bossa			App. B
53	Boplicity	3 #12	Boplicity	
54	The Boy Next Door			App. B
55	Bright Mississippi	3 #14	Bright Mississippi	
56	Brilliant Corners	3 #15	Brilliant Corners	
57	Brite Piece			App. B
58	Brownskin Girl			App. B
59	Buzzy	3 #96	Buzzy	
60	Bye-Ya			App. B
61	Cantaloupe Island	1A #9	Cantaloupe Island	
62	Capetown Ambush			App. B
63	Celia			App. B
64	Central Park West	3 #16	Central Park West	
65	Ceora	1B #10	Ceora	
66	Cheese Cake	3 #17	Cheese Cake	
67	Chi Chi	3 #97	Chi Chi	
68	Chick's Tune	3 #18	Chick's Tune	
69	Children Of The Night	3 #19	Children Of The Night	
70	Choose Now			App. B
71	Chronic Blues	3 #120	Chronic Blues	
72	Constellation	3 #131	Constellation	
73	Contemplation	3 #21	Contemplation	
74	Cool Blues	2 #99	Cool Blues	
75	Countdown	2 #14	Countdown	
76	Count Every Star			App. B
77	Count Your Blessings			App. B
78	Cousin Mary	2 #100	Cousin Mary	
79	Crazeology	3 #132	Crazeology	
80	Crepuscule With Nellie	3 #22	Crepuscule With Nellie	
81	Crescent	3 #23	Crescent	
82	Crisis			App. B
83	Criss Cross	3 #24	Criss Cross	
84	C. R. M.			App. B
85	C.T.A.	2 #110	C.T.A.	
86	Cyclic Episode			App. B
87	Dance Cadaverous	3 #25	Dance Cadaverous	
88	Dance Of The Infidels	3 #98	Dance Of The Infidels	
89	Dat Dere	2 #16	Dat Dere	
90	Delilah			App. B
91	Del Sasser	3 #27	Del Sasser	
92	Deluge			App. B
93	Dewey Square	3 #28	Dewey Square	
94	Diane			App. B
95	Dig			App. B
96	Driftin'			App. B
97	Dr. Jekyll (AKA Dr. Jackle)	3 #99	Dr. Jackle	
98	Eastern Joy Dance			App. B
99	Ecaroh			App. B
100	Effendi			App. B
101	Eighty One	2 #101	Eighty One	
102	El Gaucho	3 #29	El Gaucho	
103	Elm			App. B
104	Episode From A Village Dance			App. B
105	Eronel	3 #30	Eronel	
106	Escapade			App. B
107	E.S.P.	2 #19	E.S.P.	
108	The Eternal Triangle	2 #116	The Eternal Triangle	
109	Exact Change			App. B
110	The Eye Of The Hurricane	3 #76	The Eye Of The Hurricane	
111	Fall	3 #31	Fall	
112	Fee-Fi-Fo-Fum	2 #21	Fee-Fi-Fo-Fum	
113	Fifth House			App. B
114	Firewater			App. B
115	Firm Roots	3 #32	Firm Roots	
116	First Trip			App. B
117	Five Spot After Dark	3 #121	Five Spot After Dark	
118	Fly Little Bird Fly			App. B
119	Forest Flower			App. B
120	Four By Five			App. B
121	Four In One	3 #33	Four In One	
122	Four On Six	2 #23	Four On Six	
123	Freddie Freeloader	1A #76	Freddie Freeloader	
124	Freedom Jazz Dance	1B #16	Freedom Jazz Dance	
125	Freeway			App. B
126	Friday The Thirteenth			App. B
127	The Fruit			App. B
128	Fuchsia Swing Song	3 #34	Fuchsia Swing Song	
129	Funji Mama			App. B
130	Gaslight			App. B
131	The Gentle Rain	3 #77	The Gentle Rain	
132	Gertrude's Bounce			App. B
133	Getting To Know You			App. B
134	Gingerbread Boy	2 #102	Gingerbread Boy	
135	Glass Enclosure			App. B
136	Gloria's Step	3 #35	Gloria’s Step	
137	Gnid			App. B
138	Gone Again			App. B
139	Grand Central			App. B
140	Granted			App. B
141	Green St. Caper			App. B
142	Gregory Is Here	2 #26	Gregory Is Here	
143	The Gypsy In My Soul			App. B
144	Gypsy Without A Song			App. B
145	Hackensack (AKA Rifftide)	2 #27	Hackensack	
146	Hallucinations	3 #38	Hallucinations	
147	Happy Times			App. B
148	Hey There			App. B
149	Hi-Fly	2 #29	Hi-Fly	
150	The Holy Land	3 #78	The Holy Land	
151	Homestretch	3 #100	Homestretch	
152	Household Of Saud			App. B
153	House Of Jade			App. B
154	How Are Things In Glocca Morra?			App. B
155	How Could You Do A Thing Like That To Me			App. B
156	Hub-Tones			App. B
157	I Don't Wanna Be Kissed			App. B
158	If			App. B
159	If Ever I Would Leave You			App. B
160	If There Is Someone Lovelier Than You			App. B
