entry_no	title
1	(Meet) The Flintstones
2	(You're A) Weaver Of Dreams
3	A Beautiful Friendship
4	A Shade Of Jade
5	After The Rain
6	Aisha
7	Ambrosia
8	Angola
9	Apex
10	Arietis
11	Autumn Nocturne
12	Autumn Serenade
13	Backstage Sally
14	Barbara
15	Barracudas
16	Beyond All Limits
17	Big Nick
18	Bill
19	Billy Boy
20	Bittersweet
21	Blue Daniel
22	Blue Silver
23	Blue Spirits
24	Blues By Five
25	Book's Bossa
26	Brite Piece
27	Brownskin Girl
28	Bye-Ya
29	C. R. M.
30	Capetown Ambush
31	Celia
32	Choose Now
33	Count Every Star
34	Count Your Blessings
35	Crisis
36	Cyclic Episode
37	Delilah
38	Deluge
39	Diane
40	Dig
41	Driftin'
42	Eastern Joy Dance
43	Ecaroh
44	Effendi
45	Elm
46	Episode From A Village Dance
47	Escapade
48	Exact Change
49	Fifth House
50	Firewater
51	First Trip
52	Fly Little Bird Fly
53	Forest Flower
54	Four By Five
55	Freeway
56	Friday The Thirteenth
57	Funji Mama
58	Gaslight
59	Gertrude's Bounce
60	Getting To Know You
61	Glass Enclosure
62	Gnid
63	Gone Again
64	Grand Central
65	Granted
66	Green St. Caper
67	Gypsy Without A Song
68	Happy Times
69	Hey There
70	House Of Jade
71	Household Of Saud
72	How Are Things In Glocca Morra?
73	How Could You Do A Thing Like That To Me
74	Hub-Tones
75	I Don't Wanna Be Kissed
76	I Had The Craziest Dream
77	I Love Lucy
78	I Think You're Wonderful
79	I Thought I'd Let You Know
80	I'll Keep Loving You
81	I'll Wait And Pray
82	I'm So Excited By You
83	I've Told Ev'ry Little Star
84	If
85	If Ever I Would Leave You
86	If There Is Someone Lovelier Than You
87	If This Isn't Love
88	In A Capricornian Way
89	In A Mist
90	In Case You Haven't Heard
91	Intrepid Fox
92	Introspection
93	Is That So
94	Jayne
95	Just One More Chance
96	Katrina Ballerina
97	Knucklebean
98	La Alhambra
99	Lament For Booker
100	Lester Left Town
101	Let Me Try
102	Let's Call This
103	Let's Cool One
104	Light Blue
105	Like Sonny (AKA Simple Like)
106	Lil's Paradise
107	Litha
108	Little Dancer
109	Little Melonae
110	Little Niles
111	Little Old Lady
112	Little One
113	Little Red's Fantasy
114	Locomotion
115	Lonely Woman (Silver)
116	Lookout Farm
117	Lost
118	Love Is A Many Splendored Thing
119	Lucky Day
120	Luny Tune
121	Mahjong
122	Mamacita
123	Mating Call
124	Melancholia
125	Milestones (old)
126	Mirror, Mirror
127	Miyako
128	Mo' Joe
129	Moon Alley
130	Moon Rays
131	Morning
132	Morning Star
133	Mr. Clean
134	New York
135	Nica's Tempo
136	Nutty
137	Nutville
138	Oblivion
139	Ojos De Rojo
140	Oliloqui Valley
141	On The Nile
142	One Down, One Up
143	One's Own Room
144	Oriental Folk Song
145	Our Man Higgins
146	Our Waltz
147	Overtaken By A Moment
148	Paris Eyes
149	Paul's Pal
150	Peace Piece
151	Penelope
152	Peresina
153	Picadilly Lily
154	Played Twice
155	Poor People's March
156	Power To The People
157	Pretty Eyes
158	Punjab
159	Put Your Little Foot Right Out
160	Rahsaan's Run
161	Rapture
162	Reflections In D
163	Resolution
164	Right Now
165	Riot
166	Rise 'n Shine
167	Rosewood
168	S'posin'
169	Same Shame
170	Sans Souci
171	Say It (Over And Over Again)
172	Shall We Dance
173	She
174	Short Story
175	Silver's Serenade
176	Sky Dive
177	So Beats My Heart For You
178	So Near So Far
179	Social Call
180	Soul-Leo
181	Soultrane
182	Spiral
183	Stay As Sweet As You Are
184	Step Lightly
185	Stop Start
186	Straight Ahead
187	Straight Street
188	Strictly Confidential
189	Summer In Central Park
190	Sunrise, Sunset
191	Sunshower
192	Super Jet
193	Tadd's Delight
194	Tempus Fugit
195	Tetragon
196	The Big Push
197	The Boy Next Door
198	The Fruit
199	The Gypsy In My Soul
200	The Jody Grind
201	The Maestro
202	The Most Beautiful Girl In The World
203	The Scene Is Clean
204	The Theme
205	The Water's Edge
206	Theme For Ernie
207	Theme For Maxine
208	Think of One
209	Think On Me
210	This Is For Albert
211	This Is New
212	Three Flowers
213	Time Was
214	Tiny Capers
215	To Kill A Brick
216	Tom Thumb
217	Tomorrow's Destiny
218	Tour De Force
219	Toy Tune
220	Tyrone
221	Una Muy Bonita
222	United
223	Up 'gainst The Wall
224	Valse Triste
225	Virgo
226	Wabash
227	What The World Needs Now Is Love
228	While My Lady Sleeps
229	Wild Flower
230	Wingspan
231	Wonderful, Wonderful
232	Work
233	Worry Later (AKA San Francisco Holiday)
234	Y Todavia La Quiero
235	You Know I Care
236	You Say You Care
237	You Taught My Heart To Sing
