entry_no	title
1	'Tis Autumn
2	(I Would Do) Anything for You
3	(Please) Do It Again
4	12th Street Rag
5	9:20 Special
6	A Felicidade
7	A Fine Romance
8	A Sleepin' Bee
9	A Sunday Kind of Love
10	A Taste of Honey
11	A-Tisket, A-Tasket
12	After Hours
13	After I Say I'm Sorry
14	Ain't She Sweet
15	Alexander's Ragtime Band
16	All Alone
17	All By Myself
18	All God's Chillun Got Rhythm
19	All My Life
20	All Through the Night
21	Always
22	Amazing Grace
23	An Affair to Remember
24	And the Angels Sing
25	Any Old Time
26	Anything Goes
27	At Long Last Love
28	At Sundown
29	Auld Lang Syne
30	Aunt Hagar's Blues
31	Away in a Manger
32	Baby, It's Cold Outside
33	Back in Your Own Backyard
34	Back Water Blues
35	Bad and the Beautiful (Theme from the)
36	Baia
37	Ballin' the Jack
38	Baubles, Bangles and Beads
39	Be My Love
40	Beale Street Blues
41	Bei Mir Bist Du Schoen
42	Bess, You Is My Woman Now
43	Bill Bailey Won't You Please Come Home
44	Birth of the Blues
45	Black and Blue
46	Blue Lou
47	Blue Turning Grey Over You
48	Blueberry Hill
49	Blues in My Heart
50	Brazil
51	Broadway
52	By Myself
53	Bye Bye Blues
54	Cabin in the Sky
55	Can't We Be Friends
56	Canadian Sunset
57	Candy
58	Careless Love
59	Carioca
60	Change Partners
61	Charleston
62	Chattanooga Choo Choo
63	Cherry
64	Chicago (That Toddlin' Town)
65	Chinatown My Chinatown
66	Chloe
67	Christmas Time is Here
68	Christopher Columbus
69	Close Enough for Love
70	Cocktails for Two
71	Coquette
72	Cottage for Sale
73	Dancing on the Ceiling
74	Danny Boy
75	Dark Eyes
76	Darktown Strutters Ball
77	Davenport Blues
78	Dear Old Southland
79	Dearly Beloved
80	Dedicated to You
81	Deep in a Dream
82	Deep Night
83	Deep Purple
84	Deep River
85	Do You Know What It Means to Miss New Orleans
86	Don't Go to Strangers
87	Don't Take Your Love from Me
88	Dream
89	Dream Dancing
90	Dream of You
91	Drop Me off in Harlem
92	Easter Parade
93	Easy Does It
94	Echoes of Harlem
95	Ev'rything I Love
96	Ev'rything I've Got (Belongs to You)
97	Every Day I Have the Blues
98	Everybody Loves My Baby
99	Everything but You
100	Everything I Have Is Yours
101	Everything Must Change
102	Exodus
103	Farewell Blues
104	Five O'clock Whistle
105	For You
106	Four or Five Times
107	Frankie and Johnny
108	Frenesi
109	Get Out of Town
110	Gloomy Sunday
111	God Rest Ye Merry Gentlemen
112	Goin' Out of My Head
113	Goin' to Chicago Blues
114	Goodnight My Love
115	Green Eyes (Aquellos Ojos Verdes)
116	Greensleeves
117	Guilty
118	Harlem Nocturne
119	Harvard Blues
120	Haunted Heart
121	Have Yourself a Merry Little Christmas
122	Heart and Soul
123	Heat Wave
124	Hello Dolly
125	Hello Young Lovers
126	How Am I to Know?
127	How Come You Do Me Like You Do
128	How Long, How Long Blues
129	Humoresque
130	I Ain't Got Nobody (and Nobody Cares for Me)
131	I Ain't Got Nothin' but the Blues
132	I Believe in You
133	I Can't Escape from You
134	I Can't Stop Loving You
135	I Could Have Danced All Night
136	I Cried for You
137	I Didn't Know About You
138	I Don't Know Why (I Just Do)
139	I Get Along Without You Very Well
140	I Gotta Right to Sing the Blues
141	I Guess I'll Have to Change My Plan
142	I Hear Music
143	I Love Paris
144	I May Be Wrong
145	I Must Have That Man
146	I Never Knew
147	I See Your Face Before Me
148	I Waited for You
149	I Want a Little Girl
150	I Wish I Knew
151	I Wished on the Moon
152	I Won't Dance
153	I'll Get By (As Long As I Have You)
154	I'll Never Be the Same
155	I'll Never Smile Again
156	I'll See You in My Dreams
157	I'll String Along with You
158	I'll Take Romance
159	I'll Walk Alone
160	I'm a Fool to Want You
161	I'm an Old Cowhand (From the Rio Grande)
162	I'm Coming Virginia
163	I'm Crazy 'Bout My Baby
164	I'm Getting Sentimental Over You
165	I'm Glad There Is You
