entry	title_as_printed	rank
1	'Tis Autumn	621
2	(I Would Do) Anything for You	750
3	(Please) Do It Again	915
4	12th Street Rag	351
5	9:20 Special	597
6	A Felicidade	708
7	A Fine Romance	427
8	A Sleepin' Bee	701
9	A Sunday Kind of Love	752
10	A Taste of Honey	893
11	A-Tisket, A-Tasket	575
12	After Hours	828
13	After I Say I'm Sorry	560
14	Ain't She Sweet	650
15	Alexander's Ragtime Band	578
16	All Alone	918
17	All By Myself	986
18	All God's Chillun Got Rhythm	296
19	All My Life	950
20	All Through the Night	509
21	Always	302
22	Amazing Grace	731
23	An Affair to Remember	966
24	And the Angels Sing	786
25	Any Old Time	921
26	Anything Goes	754
27	At Long Last Love	909
28	At Sundown	812
29	Auld Lang Syne	958
30	Aunt Hagar's Blues	901
31	Away in a Manger	917
32	Baby, It's Cold Outside	898
33	Back in Your Own Backyard	451
34	Back Water Blues	982
35	Bad and the Beautiful (Theme from the)	872
36	Baia	642
37	Ballin' the Jack	677
38	Baubles, Bangles and Beads	422
39	Be My Love	724
40	Beale Street Blues	463
41	Bei Mir Bist Du Schoen	967
42	Bess, You Is My Woman Now	539
43	Bill Bailey Won't You Please Come Home	975
44	Birth of the Blues	501
45	Black and Blue	432
46	Blue Lou	198
47	Blue Turning Grey Over You	744
48	Blueberry Hill	602
49	Blues in My Heart	594
50	Brazil	911
51	Broadway	366
52	By Myself	827
53	Bye Bye Blues	499
54	Cabin in the Sky	549
55	Can't We Be Friends	632
56	Canadian Sunset	563
57	Candy	716
58	Careless Love	787
59	Carioca	516
60	Change Partners	926
61	Charleston	988
62	Chattanooga Choo Choo	914
63	Cherry	612
64	Chicago (That Toddlin' Town)	541
65	Chinatown My Chinatown	703
66	Chloe	441
67	Christmas Time is Here	943
68	Christopher Columbus	588
69	Close Enough for Love	847
70	Cocktails for Two	585
71	Coquette	407
72	Cottage for Sale	840
73	Dancing on the Ceiling	671
74	Danny Boy	649
75	Dark Eyes	397
76	Darktown Strutters Ball	547
77	Davenport Blues	757
78	Dear Old Southland	589
79	Dearly Beloved	595
80	Dedicated to You	573
81	Deep in a Dream	740
82	Deep Night	836
83	Deep Purple	295
84	Deep River	651
85	Do You Know What It Means to Miss New Orleans	687
86	Don't Go to Strangers	832
87	Don't Take Your Love from Me	521
88	Dream	442
89	Dream Dancing	910
90	Dream of You	995
91	Drop Me off in Harlem	566
92	Easter Parade	662
93	Easy Does It	949
94	Echoes of Harlem	969
95	Ev'rything I Love	773
96	Ev'rything I've Got (Belongs to You)	842
97	Every Day I Have the Blues	976
98	Everybody Loves My Baby	507
99	Everything but You	811
100	Everything I Have Is Yours	579
101	Everything Must Change	761
102	Exodus	822
103	Farewell Blues	413
104	Five O'clock Whistle	803
105	For You	723
106	Four or Five Times	741
107	Frankie and Johnny	514
108	Frenesi	438
109	Get Out of Town	410
110	Gloomy Sunday	674
111	God Rest Ye Merry Gentlemen	729
112	Goin' Out of My Head	883
113	Goin' to Chicago Blues	535
114	Goodnight My Love	743
115	Green Eyes (Aquellos Ojos Verdes)	745
116	Greensleeves	403
117	Guilty	759
118	Harlem Nocturne	807
119	Harvard Blues	994
120	Haunted Heart	880
121	Have Yourself a Merry Little Christmas	457
122	Heart and Soul	815
123	Heat Wave	959
124	Hello Dolly	758
125	Hello Young Lovers	928
126	How Am I to Know?	582
127	How Come You Do Me Like You Do	690
128	How Long, How Long Blues	559
129	Humoresque	668
130	I Ain't Got Nobody (and Nobody Cares for Me)	415
131	I Ain't Got Nothin' but the Blues	888
132	I Believe in You	963
133	I Can't Escape from You	726
134	I Can't Stop Loving You	920
135	I Could Have Danced All Night	841
136	I Cried for You	245
137	I Didn't Know About You	500
138	I Don't Know Why (I Just Do)	464
139	I Get Along Without You Very Well	661
140	I Gotta Right to Sing the Blues	528
141	I Guess I'll Have to Change My Plan	753
142	I Hear Music	414
143	I Love Paris	553
144	I May Be Wrong	626
145	I Must Have That Man	564
146	I Never Knew	303
147	I See Your Face Before Me	902
148	I Waited for You	866
149	I Want a Little Girl	360
150	I Wish I Knew	312
151	I Wished on the Moon	386
152	I Won't Dance	999
153	I'll Get By (As Long As I Have You)	531
154	I'll Never Be the Same	210
155	I'll Never Smile Again	428
156	I'll See You in My Dreams	473
157	I'll String Along with You	844
158	I'll Take Romance	672
159	I'll Walk Alone	735
160	I'm a Fool to Want You	319
161	I'm an Old Cowhand (From the Rio Grande)	896
162	I'm Coming Virginia	226
163	I'm Crazy 'Bout My Baby	686
164	I'm Getting Sentimental Over You	176
165	I'm Glad There Is You	357
166	I'm Just a Lucky So and So	363
167	I'm Just Wild About Harry	964
168	I'm Putting All My Eggs in One Basket	884
169	I'm Thru with Love	636
170	I'm Yours	794
171	I've Got a Feeling I'm Falling	702
172	I've Got My Love to Keep Me Warm	904
173	Idaho	955
174	If Dreams Come True	491
175	If I Loved You	788
176	In a Little Spanish Town	667
177	Indian Summer	267
178	Is You Is or Is You Ain't My Baby?	805
179	Isn't She Lovely	763
180	It All Depends on You	937
181	It Came Upon a Midnight Clear	989
182	It's a Blue World	676
183	It's a Wonderful World	778
184	It's Been a Long, Long Time	962
185	It's Magic	689
186	It's Wonderful	852
187	Ja-Da	658
188	Jeepers Creepers	308
189	Jersey Bounce	801
190	Jim	870
191	Jingle Bells	275
192	Jive At Five	767
193	Jump for Joy	935
194	Jumpin' with Symphony Sid	712
195	Just a Closer Walk with Thee	781
196	Just a Gigolo	583
197	Just A-Sittin' and A-Rockin'	461
198	Kansas City	929
199	Keepin' Out of Mischief Now	378
200	Lazy Afternoon	643
201	Let It Snow! Let It Snow! Let It Snow!	554
202	Let Me Off Uptown	934
203	Let's Call the Whole Thing Off	766
204	Let's Dance	990
205	Let's Do It (Let's Fall in Love)	797
206	Let's Face the Music and Dance	616
207	Let's Fall in Love	480
208	Linger Awhile	666
209	Little White Lies	680
210	Lonesome Road	574
211	Long Ago (and Far Away)	299
212	Look for the Silver Lining	673
213	Lost in the Stars	688
214	Louise	408
215	Love Dance	604
216	Love Is Just Around the Corner	821
217	Love Letters	309
218	Love You Madly	567
219	Loveless Love	715
220	Lullaby in Rhythm	586
221	Lullaby of Broadway	992
222	Lullaby of the Leaves	251
223	Lulu's Back in Town	581
224	Main Stem	502
225	Make Believe	936
226	Make Someone Happy	890
227	Mambo Inn	938
228	Manhattan	489
229	Maple Leaf Rag	889
230	Margie	268
231	Maria	591
232	Marie	838
233	Mas Que Nada	887
234	Maybe	983
235	Maybe You'll Be There	864
236	Memphis Blues	725
237	Moon Song (That Wasn't Meant for Me)	776
238	Moonlight Becomes You	907
239	Moonlight Serenade	882
240	More	769
241	My Baby Just Cares for Me	922
242	My Buddy	496
243	My Heart Belongs to Daddy	584
244	My Honey's Lovin' Arms	873
245	My Ideal	379
246	My Man	472
247	My Man's Gone Now	481
248	My Melancholy Baby	164
249	My Monday Date	845
250	My Reverie	862
251	My Silent Love	746
252	Nagasaki	617
253	Namely You	782
254	New Orleans	867
255	Night Train	638
256	No Moon At All	569
257	No More	659
258	Nobody Else but Me	657
259	Nobody Knows the Trouble I've Seen	538
260	Nobody Knows You When You're Down and Out	979
261	Nobody's Sweetheart Now	843
262	Now It Can Be Told	970
263	Nuages	504
264	O Little Town of Bethlehem	977
265	Oh You Crazy Moon	783
266	Ol' Man River	236
267	Old Folks at Home	492
268	On a Slow Boat to China	630
269	On the Alamo	359
270	On the Street Where You Live	330
271	On the Trail	641
272	Once in a While	262
273	Opus One	948
274	Organ Grinder's Swing	736
275	P.S. I Love You	774
276	Peg O' My Heart	655
277	Penthouse Serenade	580
278	People	508
279	People Will Say We're in Love	806
280	Perfidia	885
281	Pinetop's Boogie Woogie	965
282	Please Be Kind	697
283	Please Don't Talk About Me When I'm Gone	634
284	Please Send Me Someone to Love	322
285	Poor Butterfly	196
286	Portrait of Jennie	795
287	Prisoner of Love	670
288	Red Sails in the Sunset	600
289	Remember	362
290	Ring Dem Bells	932
291	Riverboat Shuffle	985
292	Rockin' Chair	437
293	Rocks in My Bed	933
294	Roll 'Em	814
295	Roll 'Em Pete	930
296	Rosalie	939
297	Rose of the Rio Grande	732
298	Rosetta	203
299	Ruby	637
300	Rudolph the Red-Nosed Reindeer	981
301	Runnin' Wild	482
302	Russian Lullaby	469
303	Santa Claus Is Coming to Town	417
304	Say It Isn't So	639
305	See See Rider	468
306	Send in the Clowns	707
307	Sent for You Yesterday	816
308	Sentimental Journey	792
309	Serenade in Blue	693
310	Serenata	891
311	Sheik of Araby	165
312	Shim-Me-Sha-Wabble	826
313	Shine	498
314	Shine on Harvest Moon	846
315	Shoe Shine Boy	644
316	Silent Night, Holy Night	476
317	Sing, Sing, Sing	624
318	Singin' in the Rain	954
319	Smiles	777
320	Smooth Sailing	961
321	Snowfall	900
322	So in Love (Am I)	443
323	So Rare	946
324	Some of These Days	405
325	Some Other Spring	631
326	Somebody Stole My Gal	593
327	Someday Sweetheart	364
328	Something to Live For	439
329	Sometimes I feel Like a Motherless Child	505
330	Somewhere	719
331	Sonny Boy	664
332	Soon	381
333	South	849
334	Squatty Roo	711
335	Stairway to the Stars (Park Avenue Fantasy)	167
336	Stars Fell on Alabama	238
337	Stormy Monday Blues	925
338	Straighten Up and Fly Right	951
339	Stranger in Paradise	968
340	Street of Dreams	376
341	Strike Up the Band	320
342	String of Pearls	960
343	Stuffy	692
344	Sugar Blues	791
345	Sugar (That Sugar Baby O' Mine)	269
346	Summer Night	839
347	Sunday	281
348	Sunny	606
349	Superstition	991
350	Sweet and Lovely	142
351	Sweet Sue, Just You	193
352	Sweethearts on Parade	956
353	Swing Low, Sweet Chariot	478
354	Swinging the Blues	520
355	Taboo	850
356	Tain't Nobody's Business If I Do	653
357	Tain't What You Do	835
358	Temptation	957
359	Thanks for the Memory	762
360	That Old Devil Called Love	824
361	The Best Is Yet to Come	878
362	The Best Thing for You	789
363	The Best Things in Life Are Free	818
364	The Breeze and I	447
365	The Christmas Song	305
366	The Continental	906
367	The Creole Love Call	953
368	The Flat Foot Floogie	809
369	The Glory of Love	897
370	The Hour of Parting	779
371	The Lady's in Love with You	665
372	The Lamp Is Low	530
373	The Look of Love	698
374	The Masquerade Is Over	396
375	The Mooche	714
376	The Night We Called It a Day	445
377	The One I Love (Belongs to Somebody Else)	737
378	The Party's Over	704
379	The Peanut Vendor	519
380	The Second Time Around	646
381	The Song Is Ended	598
382	The Summer Knows	608
383	The Things We Did Last Summer	785
384	The Thrill Is Gone	760
385	The World Is Waiting for the Sunrise	874
386	There Are Such Things	913
387	There'll Be Some Changes Made	401
388	There's a Lull in My Life	924
389	There's No You	518
390	They All Laughed	927
391	They Didn't Believe Me	446
392	They Say	987
393	They Say It's Wonderful	345
394	This Is All I Ask	997
395	This Is Always	315
396	This Love of Mine	590
397	This Time the Dream's on Me	416
398	This Year's Kisses	912
399	Thou Swell	278
400	Tickle Toe	679
401	Tiger Rag	259
402	Time on My Hands	156
403	Time Out	944
404	To Each His Own	1000
405	Together	749
406	Tonight	916
407	Too Close for Comfort	391
408	Too Late Now	620
409	Too Young to Go Steady	972
410	Topsy	385
411	Travelin' Light	425
412	Trouble in Mind	409
413	Trust in Me	784
414	Try a Little Tenderness	663
415	Tuxedo Junction	696
416	Two Sleepy People	817
417	Under a Blanket of Blue	645
418	Until the Real Thing Comes Along	317
419	Wait Till You See Her	908
420	Walk on By	854
421	Walkin' My Baby Back Home	577
422	Wham	980
423	What a Wonderful World	945
424	What Are You Doing New Year's Eve?	974
425	What Are You Doing the Rest of Your Life	717
426	What Is There to Say	232
427	What Kind of Fool Am I?	993
428	What Will I Tell My Heart	819
429	What'll I Do	751
430	When a Woman Loves a Man	675
431	When Day Is Done	973
432	When the Sun Comes Out	485
433	When You Wish Upon a Star	348
434	Where Are You	353
435	White Christmas	404
436	Who	607
437	Who Cares? (So Long As You Care for Me)	419
438	Who's Sorry Now?	454
439	Why Do I Love You?	431
440	Why Was I Born	377
441	Winter Wonderland	326
442	With a Song in My Heart	536
443	Wonder Why	635
444	Yesterday	619
445	You Are My Sunshine	919
446	You Better Go Now	555
447	You Brought a New Kind of Love to Me	747
448	You Do Something to Me	734
449	You Leave Me Breathless	678
450	You Made Me Love You	947
451	You Make Me Feel so Young	848
452	You Turned the Tables on Me	660
453	You'll Never Know	877
454	You're a Lucky Guy	830
455	You're a Sweetheart	756
456	You're Blase	640
457	You're Getting to Be a Habit with Me	770
458	You're Mine You	525
459	You're My Everything	393
460	You're My Thrill	374
461	You're the Top	940
462	Young and Foolish	561
463	Young At Heart	764
464	Yours Is My Heart Alone	871
