institution	document	url	format	rows_as_printed	titles_as_printed	retrieved	note
William Paterson University	Jazz Studies Program Repertoire List	https://www.wpunj.edu/cohss/departments/music/assets/wp_jazz_rep_list_master.pdf	PDF	319	313	2026-08-26	
University of Utah	Song List and Guidelines for Tune Memorization	https://music.utah.edu/documents/ensemble-audition-excerpts/jazz/2022/university_of_utah_jazz_tune_list_for_auditions.pdf	PDF	282	260	2026-08-26	prints six model/contrafact pairs on one line; each pair is split into two titles
California State University, Long Beach	Bob Cole Conservatory Handbook, instrumental lists	https://web.csulb.edu/colleges/cota/music/areas/jazz-studies/rep/jazz_handbook.pdf	PDF	170	168	2026-08-26	its unqualified Milestones is not used to merge the two compositions of that name
University of Oregon	Undergraduate Jazz Repertoire List	https://jazz.uoregon.edu/files/2025/05/Undergraduate-Jazz-Repertoire-List.pdf	PDF	127	127	2026-08-26	prints Misty / I Want to Talk About You as one option row; counted as Misty only
Marshall University	Jazz Handbook, pp. 17-18 only	https://www.marshall.edu/music/files/MU-Jazz-Handbook.pdf	PDF	114	112	2026-08-26	audition suggestions elsewhere in the handbook are excluded; pp. 17-18 only
University of Alabama	Jazz Jury Requirements	https://jazz.music.ua.edu/wp-content/uploads/sites/7/2017/02/Jazz-Jury-Requirements.pdf	PDF	100	100	2026-08-26	
Utah Valley University	Standard Jazz Repertoire	https://www.uvu.edu/music/docs/standard_jazz_repertoire.pdf	PDF	82	82	2026-08-26	
University of Iowa	Jazz Studies Auditions, undergraduate and graduate	https://music.uiowa.edu/jazz-studies-auditions	HTML	56	51	2026-08-26	
Western Michigan University	Jazz Jury Requirements (Instrumental)	https://files.wmich.edu/s3fs-public/attachments/u112/2018/jazz-jury-requirements-inst.pdf	PDF	50	50	2026-08-26	
Texas State University	Upper Level Competency Review	https://www.music.txst.edu/currentstudents/ulcr/ulcrjazz.html	HTML	46	46	2026-08-26	prints performance keys inside the title cell; keys are not part of the title
San Diego State University	Repertoire Jazz List	https://music.sdsu.edu/admission/repertoire-jazz-list	HTML	42	42	2026-08-26	
Sonoma State University	Jazz Four Year Repertoires	https://music.sonoma.edu/jazz-repertoires	HTML	40	40	2026-08-26	
University of Central Florida	Jazz Studies Handbook, by semester	https://cah.ucf.edu/performingarts/wp-content/uploads/sites/46/2021/02/UCF_Jazz_Studies-handbook-2019-07.pdf	PDF	37	37	2026-08-26	
University of Colorado Boulder	Jazz audition information	https://www.colorado.edu/music/academics/departments/jazz-studies/jazz-audition-information	HTML	31	31	2026-08-26	
