block_id	type	publisher	work	volume	titles	seated_in_the_index	declined	outside_the_pool	band_assigned	isbn_or_cat
B01	play-along	Sher	The Real Easy Book	vol 1 (printing not stated)	42	21	2	19	Foundational	978-1-883217-15-0
B02	play-along	Sher	The Real Easy Book	vol 2	101	41	10	50	Intermediate	978-1-883217-16-7
B03	play-along	Sher	The Real Easy Book	vol 3, 9 period sections	63	20	8	35	Intermediate	978-1-883217-51-8
B04	play-along	Sher	The Latin Real Easy Book	Part 1	43	4	0	39	Foundational	978-1-883217-67-9
B05	play-along	Sher	The Latin Real Easy Book	Part 2	40	0	0	40	Intermediate	978-1-883217-67-9
B06	play-along	Hal Leonard	Easy Jazz Play-Along	vol 1	18	15	0	3	Foundational	978-1-4584-1510-3
B07	play-along	Hal Leonard	Easy Jazz Play-Along	vol 2	18	17	1	0	Foundational	978-1-4584-1512-7
B08	play-along	Hal Leonard	Easy Jazz Play-Along	vol 3	18	15	2	1	Foundational	978-1-4584-1517-2
B09	play-along	Hal Leonard	Easy Jazz Play-Along	vol 4, Basic Blues	18	13	1	4	Foundational	HL 00843228
B10	play-along	Hal Leonard	Easy Jazz Play-Along	vol 5, Easy Latin Classics	18	9	1	8	Foundational	978-1-4768-0195-7
B11	play-along	Aebersold	Jazz Play-A-Long	vol 54, Maiden Voyage	14	10	0	4	Foundational	978-1-56224-212-1
B12	play-along	Aebersold	Jazz Play-A-Long	vol 70, Killer Joe	13	10	0	3	Emerging Intermediate	978-1-56224-228-2
B13	play-along	Alfred	Jazz Easy Play-Along	vol 1, Easy Standards	9	8	0	1	Foundational	978-0-7390-7576-0
B14	play-along	Alfred	Jazz Easy Play-Along	vol 2, Easy Standards	9	8	0	1	Foundational	
B15	play-along	Alfred	Jazz Easy Play-Along	vol 3, Easy Latin Standards	9	8	0	1	Foundational	
B16	method	Alfred / Hill	Approaching the Standards	vol 1	8	7	1	0	Emerging Intermediate	978-0-7692-9217-5
B17	ensemble method	Hal Leonard	Essential Elements for Jazz Ensemble	Book 1	10	2	4	4	Foundational	978-0-7935-9631-7
B18	ensemble method	Hal Leonard	Essential Elements for Jazz Ensemble	Book 2	15	5	2	8	Emerging Intermediate	978-0-7935-9631-7
B19	method	Alfred / Aaronson	Jazz Standards for Students	Book 1, late elementary	8	7	0	1	Foundational	978-0-7390-9045-9
B20	method	Alfred / Aaronson	Jazz Standards for Students	Book 2, early intermediate	7	6	0	1	Emerging Intermediate	978-0-7390-9046-6
B21	method	Alfred / Aaronson	Jazz Standards for Students	Book 3, intermediate	10	8	0	2	Intermediate	978-0-7390-9047-3
B22	ensemble	GIA / Miles	Teaching Music through Performance in Jazz	Grade 1	7	3	0	4	Foundational	GIA G-9022
B23	ensemble	GIA / Miles	Teaching Music through Performance in Jazz	Grade 1.5	11	5	1	5	Foundational	GIA G-9022
B24	ensemble	GIA / Miles	Teaching Music through Performance in Jazz	Grade 2	19	10	0	9	Emerging Intermediate	GIA G-9022
B25	ensemble	GIA / Miles	Teaching Music through Performance in Jazz	Grade 2.5	12	4	0	8	Emerging Intermediate	GIA G-9022
B26	ensemble	GIA / Miles	Teaching Music through Performance in Jazz	Grade 3	9	4	2	3	Intermediate	GIA G-9022
B27	ensemble	GIA / Miles	Teaching Music through Performance in Jazz	Grade 3.5	3	1	0	2	Intermediate	GIA G-9022
