calls	title_as_logged
12	500 Miles High
14	Afro Blue
2	Afternoon In Paris
2	Agua De Berber
1	Aint Misbehavin'
1	Airegin
1	Alice In Wonderland
18	All Blues
25	All Of Me
14	All The Things You Are
1	Alone Together
2	Angel Eyes
10	Anthropology
3	Apple Core
1	April In Paris
5	Ask Me Now
3	At Last
5	Au Privave
1	Autumn In New York
22	Autumn Leaves
16	Bags Groove
1	Basin Street Blues
9	Beatrice
17	Beautiful Love
5	Bemsha Swing
13	Bernie's Tune
2	Besame Mucho
1	Bessies Blues
16	Better Get Hit In Your Soul
2	Beyond The Sea
37	Billie's Bounce
8	Birk's Works
4	Black Coffee
5	Black Nile
41	Black Orpheus
5	Blue Bolivar Blues
32	Blue Bossa
4	Blue In Green
19	Blue Monk
1	Blue Moon
2	Blue Skies
4	Blue Train
1	Blues By Five
5	Blues For Alice
9	Blues In The Closet
15	Body And Soul
16	Bohemia After Dark
1	Bolivia
1	Bright Mississippi
1	Bright Size Life
2	Brilliant Corners
11	Broadway
2	But Beautiful
2	But Not For Me
1	Buzzy
16	Bye Bye Blackbird
10	Bye-Ya
4	C Jam Blues
1	Can't Help Lovin That Man
2	Can't Take That Away From Me
3	Cantaloupe Island
45	Caravan
1	Celia
1	Central Park West
11	Chameleon
3	Cheek To Cheek
3	Cheese Cake
1	Chega De Saudade
21	Cherokee
8	The Chicken
1	A Child Is Born
9	Chitlins Con Carne
3	Come Rain Or Come Shine
8	Comes Love
1	Confirmation
4	Cool Blues
18	Corcovado
1	Cottontail
1	Countdown
4	Cousin Mary
1	Cry Me A River
2	Darn That Dream
11	Days Of Wine And Roses
17	Desafinado
1	Dig
6	Do Nothing Till You Hear From Me
2	Dolphin Dance
6	Donna Lee
5	Dont' Get Around Much Any More
17	Doxy
1	East Of The Sun And West Of The Moon
1	Easy To Love
1	Embraceable You
1	The End Of A Love Affair
35	Epistrophy
12	Equinox
2	ESP
2	Everything Happens To Me
1	Exactly Like You
6	Fee Fi Fo Fum
1	Fever
4	Five Spot After Dark
8	Fly Me To the Moon
6	Foggy Day
16	Footprints
6	For Heaven's Sake
21	Four
1	Four on Six
13	Freddie Freeloader
3	Freight Train
2	Gee Baby Ain't I Good To You
7	Georgia
2	Get Happy
1	Giant Steps
16	Girl From Ipanema
1	Gone With The Wind
1	Good Bait
2	Goodbye Pork Pie Hat
2	Greensleeves
3	Groovin' High
4	Hackensack
6	Have You Met Miss Jones
1	Here's That Rainy Day
1	He's A Tramp
1	Ho Ba La La
9	Honeysuckle Rose
2	Hot House
1	How Deep Is The Ocean
10	How High The Moon
3	How Insensitive
1	I Can't Get Started
1	I Didn't Know What Time It Was
2	I Got It Bad And That Ain't Good
3	I Got Rhythm
7	I Hear A Rhapsody
1	I Mean You
1	I Should Care
4	I Thought About You
8	I Wish I Knew How It Would Feel To Be Free
1	Idle Moments
1	If I Should Lose You
4	If I Were A Bell
1	I'll Remember April
1	I'm Beginning To See The Light
1	I'm Old Fashioned
2	Impressions
4	In A Mellow Tone
4	In A Sentimental Mood
10	In Walked Bud
4	In Your Own Sweet Way
3	Infant Eyes
26	Invitation
12	Isfahan
20	It Could Happen To You
5	It Don't Mean A Thing
1	It Never Entered My Mind
1	It's A Good Day
