no	title_as_printed
1	A Foggy Day
2	Afro Blue
3	Afternoon In Paris
4	Airegin
5	All Blues
6	All Of Me
7	All Of You
8	All The Things You Are
9	Alone Together
10	Along Came Betty
11	Angel Eyes
12	Anthropology
13	As Time Goes By
14	Au Privave
15	Autumn Leaves
16	Back Home Again In Indiana
17	Bags Groove
18	Beatrice
19	Beautiful Love
20	Bernie's Tune
21	Bessie's Blues
22	Billie's Bounce
23	Birks Works
24	Black Orpheus
25	Blue Bossa
26	Blue In Green
27	Blue Monk
28	Blue Train
29	Blues By Five
30	Blues For Alice
31	Blues In The Closet
32	Bluesette
33	Body And Soul
34	Broadway
35	But Beautiful
36	But Not For Me
37	Bye Bye Blackbird
38	Cantaloupe Island
39	Caravan
40	Ceora
41	Cherokee
42	Come Rain Or Come Shine
43	Confirmation
44	Corcovado
45	Countdown
46	Darn That Dream
47	Days Of Wine And Roses
48	Desafinado
49	Dolphin Dance
50	Donna Lee
51	Don't Get Around Much Anymore
52	Doxy
53	Embraceable You
54	Equinox
55	E.S.P.
56	Fee Fi Fo Fum
57	Fly Me To The Moon
58	Footprints
59	For Heaven's Sake
60	Four
61	Freddie Freeloader
62	Freedom Jazz Dance
63	Georgia On My Mind
64	Giant Steps
65	Good Bait
66	Groovin High
67	Half Nelson
68	Have You Met Miss Jones
69	Here's That Rainy Day
70	Honeysuckle Rose
71	Hot House
72	How Deep Is The Ocean
73	How High The Moon
74	How Insensitive
75	I Can't Get Started
76	I Could Write A Book
77	I Got Rhythm
78	I Hear A Rhapsody
79	I Love You
80	I Mean You
81	I Remember You
82	I Should Care
83	I Thought About You
84	I Wish I Knew How It Would Feel To Be Free
85	If I Were A Bell
86	I'll Remember April
87	Impressions
88	In A Mellow Tone
89	In A Sentimental Mood
90	In Your Own Sweet Way
91	Inner Urge
92	Invitation
93	It Could Happen To You
94	It Don't Mean A Thing
95	It Had To Be You
96	It Might As Well Be Spring
97	It's You Or No One
98	Joy Spring
99	Just Friends
100	Killer Joe
101	Lady Bird
102	Laura
103	Lazy Bird
104	Like Someone In Love
105	Little Sunflower
106	Love For Sale
107	Lover Man
108	Lullaby Of Birdland
109	Mack The Knife
110	Maiden Voyage
111	Meditation
112	Mercy Mercy Mercy
113	Milestones
114	Misty
115	Moanin
116	Moment's Notice
117	Mood Indigo
118	Moonglow
119	Moonlight In Vermont
120	Mr P.C.
121	My Favourite Things
122	My Foolish Heart
123	My Funny Valentine
124	My Little Suede Shoes
125	My One And Only Love
126	My Romance
127	My Shining Hour
128	Nardis
129	Nica's Dream
130	Night And Day
131	Night In Tunisia
132	Now's The Time
133	Oleo
134	On Green Dolphin Street
135	On The Sunny Side Of The Street
136	Once I Loved
137	One Note Samba
138	Ornithology
139	Our Love Is Here To Stay
140	Out Of Nowhere
141	Peace
142	Perdido
143	Polka Dots And Moonbeams
144	Prelude To A Kiss
145	Recordame
146	Round Midnight
147	Sandu
148	Satin Doll
149	Scrapple From The Apple
150	Seven Steps To Heaven
151	Shadow Of Your Smile
152	Skylark
153	So What
154	Softly As In A Morning Sunrise
155	Solar
156	Someday My Prince Will Come
157	Someone To Watch Over Me
158	Song For My Father
159	Sophisticated Lady
160	Speak Low
161	Speak No Evil
162	St. James Infirmary
163	St. Thomas
164	Stablemates
165	Star Eyes
166	Stardust
167	Stella By Starlight
168	Stolen Moments
169	Stompin At The Savoy
170	Straight No Chaser
171	Summertime
172	Sweet Georgia Brown
173	Take Five
174	Take The A Train
175	Tenderly
176	Tenor Madness
177	The Girl From Ipanema
178	The Nearness Of You
179	The Night Has A Thousand Eyes
180	The Song Is You
181	There Is No Greater Love
182	There Will Never Be Another You
183	Things Ain’t What They Used To Be
184	This I Dig Of You
185	Triste
186	Tune Up
187	Walkin'
188	Watermelon Man
189	Wave
190	Way You Look Tonight, The
191	Well You Needen't
192	What Is This Thing Called Love?
193	What's New
194	When I Fall In Love
195	Whisper Not
196	Willow Weep For Me
197	Work Song
198	Yardbird Suite
199	Yesterdays
200	You Don't Know What Love Is
201	You Stepped Out Of A Dream
