total	survey_component	additional_sources_component	column	title
18	12	6	Blues	All Blues
13	7	6	Blues	Stolen Moments
9	2	7	Blues	Blue Trane
8	5	3	Blues	Walkin'
7	3	4	Blues	Freddie the Freeloader
5	3	2	Blues	Isotope
5	2	3	Blues	Sandu
3	0	3	Blues	Doodlin'
3	0	3	Blues	One for Daddy-O
3	2	1	Blues	Blues March
3	1	2	Blues	Cousin Mary
3	1	2	Blues	Jumpin' with Symphony Sid
3	1	2	Blues	Limehouse Blues
3	2	1	Blues	Nutville
3	1	2	Blues	Red Top
3	1	2	Blues	Route 66
3	1	2	Blues	St. Louis Blues
3	1	2	Blues	Vierd Blues
2	0	2	Blues	Blue Bolivar Blues
2	0	2	Blues	Blues Connotation
2	0	2	Blues	Black Coffee
2	0	2	Blues	Blues for Stephanie
2	0	2	Blues	Blues on the Corner
2	0	2	Blues	Cedar's Blues
2	0	2	Blues	Chasin' the Trane
2	1	1	Blues	Comin' Home Baby
2	0	2	Blues	Filthy McNasty
2	0	2	Blues	Five Spot After Dark
2	0	2	Blues	Gingerbread Boy
2	0	2	Blues	Jodie Grind, The
2	0	2	Blues	Royal Garden Blues
2	0	2	Blues	Sack O' Woe
2	2	0	Blues	Some Other Blues
2	0	2	Blues	Teenie's Blues
2	0	2	Blues	When Will the Blues Leave
18	11	7	RiffBlues	Blue Monk
16	9	7	RiffBlues	Tenor Madness
11	8	3	RiffBlues	Sonnymoon for Two
10	7	3	RiffBlues	Bag's Groove
10	4	6	RiffBlues	Things Ain't What They Used to Be
8	5	3	RiffBlues	Bessie's Blues
8	3	5	RiffBlues	C Jam Blues
6	3	3	RiffBlues	Cool Blues
5	2	3	RiffBlues	Blues in the Closet
5	3	2	RiffBlues	Blues Walk, The
5	4	1	RiffBlues	Misterioso
5	1	4	RiffBlues	Night Train
4	4	0	RiffBlues	West Coast Blues
3	3	0	RiffBlues	Bemsha Swing
3	1	2	RiffBlues	Blues by Five
3	3	0	RiffBlues	Centerpiece
2	-1	-1	RiffBlues	Blue 'n' Boogie
2	-1	-1	RiffBlues	Champ, The
2	-1	-1	RiffBlues	Dig Dis
2	-1	-1	RiffBlues	Spontaneous Combustion
2	-1	-1	RiffBlues	Turnaround
2	2	0	RiffBlues	Blue Seven
2	1	1	RiffBlues	No Blues (Pfrancing)
1	1	0	RiffBlues	Bud's Blues
25	17	8	BebopBlues	Billie's Bounce
19	13	6	BebopBlues	Straight No Chaser
17	10	7	BebopBlues	Now's the Time
15	10	5	BebopBlues	Blues for Alice
12	7	5	BebopBlues	Au Privave
6	3	3	BebopBlues	Cheryl
4	1	3	BebopBlues	Barbados
3	2	1	BebopBlues	Birdlike
3	-1	-1	BebopBlues	Bloomdido
3	-1	-1	BebopBlues	Buzzy
3	-1	-1	BebopBlues	Chi Chi
3	-1	-1	BebopBlues	Relaxin' at Camarillo
3	1	2	BebopBlues	Dance of the Infidels
3	1	2	BebopBlues	Sippin' at Bells
3	1	2	BebopBlues	Twisted
2	-1	-1	BebopBlues	Cookin' at the Continental
2	-1	-1	BebopBlues	Mohawk
2	-1	-1	BebopBlues	Ool ya coo
2	-1	-1	BebopBlues	Wee Dot
2	-1	-1	BebopBlues	Yabada Ool Ya
2	1	1	BebopBlues	Parker's Mood
21	15	6	MinorBlues	Footprints
17	10	7	MinorBlues	Mr. P.C.
8	5	3	MinorBlues	Equinox
7	2	5	MinorBlues	Birk's Works
2	1	1	MinorBlues	Senor Blues
14	8	6	Bridge	Watermelon Man
4	2	2	Bridge	Sidewinder
2	-1	-1	Bridge	Alright, Okay, You Win
2	-1	-1	Bridge	Scotch and Water
2	1	1	Bridge	Speedball
2	-1	-1	Bridge	Unit 7
2	1	1	Bridge	Locomotion
1	-1	-1	Bridge	Bikini
30	21	9	Rhythm	Oleo
17	11	6	Rhythm	Anthropology
10	6	4	Rhythm	I Got Rhythm
9	7	2	Rhythm	Good Bait
8	4	4	Rhythm	Cottontail
8	3	5	Rhythm	Lester Leaps In
8	2	6	Rhythm	Moose the Mooche
7	3	4	Rhythm	Rhythm-a-ning
6	1	5	Rhythm	Flintstones, The
5	2	3	Rhythm	Theme, The
4	1	3	Rhythm	Dexterity
4	2	2	Rhythm	Eb Pob
3	3	0	Rhythm	Eternal Triangle
3	1	2	Rhythm	Salt Peanuts
3	0	3	Rhythm	Shaw 'Nuff
3	0	3	Rhythm	Steeplechase
3	0	3	Rhythm	Straighten Up and Fly Right
3	0	3	Rhythm	Tiptoe
3	1	2	Rhythm	Webb City
3	1	2	Rhythm	Wee (Allen's Alley)
2	0	2	Rhythm	52nd Street Theme
2	0	2	Rhythm	Apple Honey
2	0	2	Rhythm	Chasin' the Bird
2	0	2	Rhythm	Don't Be That Way
2	0	2	Rhythm	Goin' to Minton's
2	0	2	Rhythm	Jumpin' at the Woodside
2	1	1	Rhythm	Manteca
2	0	2	Rhythm	One Bass Hit
2	0	2	Rhythm	Oop-Bop-Sha-Bam
2	0	2	Rhythm	Seven Come Eleven
2	0	2	Rhythm	Shag
2	1	1	Rhythm	Wail
1	1	0	Rhythm	Passport
1	1	0	Rhythm	Room 608
1	1	0	Rhythm	Serpent's Tooth, The
2	2	0	Fusion	Chameleon
1	1	0	Fusion	Chicken, The
1	1	0	Fusion	Comin' Home Baby
1	1	0	Fusion	Red Clay
1	1	0	Fusion	Senor Blues
6	6	0	Free	Freedom Jazz Dance
1	1	0	Free	Blues Connotation
1	1	0	Free	Congeniality
1	1	0	Free	Lonely Woman
