contributors	title_as_printed
09	Airegin
09	Angel Eyes
09	Back Home Again in Indiana
09	Darn that Dream
09	Embraceable You
09	Foggy Day, A
09	Groovin' High
09	Honeysuckle Rose
09	Love for Sale
09	My One and Only Love
09	One Note Samba
09	Scrapple from the Apple
09	Sugar
09	Tenderly
09	Tenor Madness
09	Whisper Not
08	Beautiful Love
08	Bluesette
08	Don’t Get Around Much Anymore
08	Emily
08	Freddie Freeloader
08	Georgia on My Mind
08	I Thought About You
08	If I Were a Bell
08	Inner Urge
08	Little Sunflower
08	Prelude to a Kiss
08	Skylark
08	Song is You, The
08	Sonnymoon for Two
08	Stardust
03	Take 5
08	Watermelon Man
08	Way You Look Tonight, The
07	Afternoon In Paris
07	Along Came Betty
07	Au Privave
07	Bag's Groove
07	Cantaloupe Island
07	Good Bait
07	Hot House
07	How Insensitive
07	I Remember You
07	Killer Joe
07	Laura
07	Lullaby of Birdland
07	Meditation
07	Nardis
07	Over the Rainbow
07	Peace
07	Sophisticated Lady
07	Speak No Evil
07	Stolen Moments
01	Four in One
06	All of You
06	Come Rain or Come Shine
06	Freedom Jazz Dance
06	I Got Rhythm
06	It Don’t Mean a Thing
06	It Had to Be You
06	Lazy Bird
06	My Shining Hour
06	Once I Loved
06	Our Love is Here to Stay
06	Polka Dots and Moonbeams
06	Seven Steps to Heaven
06	Stompin' at the Savoy
06	Watch What Happens
06	When I Fall in Love
06	You’d be so Nice to Come Home To
05	Beatrice
05	Bessie's Blues
05	But Beautiful
05	Countdown
05	E.S.P.
05	Equinox
05	Fee Fi Fo Fum
05	Half Nelson
05	How Deep is the Ocean?
05	I Could Write a Book
05	I Mean You
05	I Should Care
05	It Might as Well Be Spring
05	It’s You or No One
05	Milestones (new)
05	Moonlight in Vermont
05	My Favorite Things
05	Nearness of You, The
05	Night Has a Thousand Eyes, The
05	Someone To Watch Over Me
05	Things Ain’t What They Used to Be
05	Walkin'
05	Willow Weep for Me
05	Witch Hunt
05	Witchcraft
05	Yes or No
